Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Altenworth,Austria,48.3833,15.85,19.1,Overcast clouds,4.11,✅ Safe,2025-08-23 18:28:40
Asten,Austria,48.2167,14.4,19.83,Overcast clouds,6.56,⚠ Moderate,2025-08-23 18:28:42
Bernhardsthal,Austria,48.6833,16.8667,18.56,Overcast clouds,7.74,⚠ Moderate,2025-08-23 18:28:44
Bischofshofen,Austria,47.4167,13.2167,15.88,Overcast clouds,1.77,✅ Safe,2025-08-23 18:28:46
Bohlerwenk,Austria,47.9833,14.75,19.57,Overcast clouds,4.87,✅ Safe,2025-08-23 18:28:48
Bregenz,Austria,47.5,9.7667,19.08,Overcast clouds,1.9,✅ Safe,2025-08-23 18:28:50
Deutsch Wagram,Austria,48.3,16.5667,19.32,Broken clouds,5.87,⚠ Moderate,2025-08-23 18:28:51
Deutschkreutz,Austria,47.6,16.6333,19.79,Light rain,6.84,⚠ Moderate,2025-08-23 18:28:53
Dobermannsdorf,Austria,48.6,16.8167,18.58,Overcast clouds,7.78,⚠ Moderate,2025-08-23 18:28:55
Donnerskirchen,Austria,47.9,16.6333,18.53,Overcast clouds,8.29,⚠ Moderate,2025-08-23 18:28:56
Dross,Austria,48.45,15.5667,18.66,Overcast clouds,4.53,✅ Safe,2025-08-23 18:28:58
Durnstein,Austria,48.3833,15.5167,17.73,Overcast clouds,4.76,✅ Safe,2025-08-23 18:29:00
Ebreichsdorf,Austria,47.95,16.4,19.24,Overcast clouds,7.22,⚠ Moderate,2025-08-23 18:29:02
Eibiswald,Austria,46.6833,15.8333,21.86,Broken clouds,0.12,✅ Safe,2025-08-23 18:29:04
Engabrunn,Austria,48.45,15.75,19.07,Overcast clouds,4.9,✅ Safe,2025-08-23 18:29:05
Engelmannsbrunn,Austria,48.45,15.8833,18.73,Overcast clouds,5.2,⚠ Moderate,2025-08-23 18:29:07
Engerwitzdorf,Austria,48.35,14.45,19.15,Overcast clouds,6.28,⚠ Moderate,2025-08-23 18:29:09
Erl,Austria,47.6667,12.1667,18.33,Overcast clouds,1.63,✅ Safe,2025-08-23 18:29:10
Erpersdorf,Austria,48.3333,15.9,19.11,Overcast clouds,3.77,✅ Safe,2025-08-23 18:29:12
Faistenau,Austria,47.7667,13.2167,16.08,Overcast clouds,3.02,✅ Safe,2025-08-23 18:29:13
Falkenstein,Austria,48.7167,13.5833,17.21,Overcast clouds,4.11,✅ Safe,2025-08-23 18:29:15
Fehring,Austria,46.9333,16.0,21.07,Overcast clouds,2.14,✅ Safe,2025-08-23 18:29:16
Fulpmes,Austria,47.15,11.35,16.59,Overcast clouds,3.07,✅ Safe,2025-08-23 18:29:18
Gamlitz,Austria,46.7167,15.55,21.7,Overcast clouds,1.35,✅ Safe,2025-08-23 18:29:20
Gmunden,Austria,47.9167,13.8,18.09,Overcast clouds,3.63,✅ Safe,2025-08-23 18:29:21
Greifenstein,Austria,48.3333,16.2333,19.18,Broken clouds,4.83,✅ Safe,2025-08-23 18:29:23
Grein,Austria,48.2167,14.8333,20.29,Broken clouds,6.36,⚠ Moderate,2025-08-23 18:29:25
Gross-Schweinbarth,Austria,48.4,16.6167,18.49,Overcast clouds,7.03,⚠ Moderate,2025-08-23 18:29:27
Gutenstein,Austria,47.8667,15.8833,17.2,Overcast clouds,5.13,⚠ Moderate,2025-08-23 18:29:28
Hadersdorf,Austria,48.45,15.7167,18.99,Overcast clouds,4.84,✅ Safe,2025-08-23 18:29:30
Hadersdorf-Kammern,Austria,48.45,15.7167,18.99,Overcast clouds,4.84,✅ Safe,2025-08-23 18:29:32
Hainfeld,Austria,48.0333,15.7667,18.1,Broken clouds,6.51,⚠ Moderate,2025-08-23 18:29:33
Haugsdorf,Austria,48.7,16.0667,18.77,Overcast clouds,6.73,⚠ Moderate,2025-08-23 18:29:35
Hausleiten,Austria,48.3833,16.1,19.06,Broken clouds,4.91,✅ Safe,2025-08-23 18:29:37
Hausmannstatten,Austria,46.9833,15.5,21.31,Scattered clouds,2.09,✅ Safe,2025-08-23 18:29:39
Hobersbrunn,Austria,48.5,16.5667,18.52,Overcast clouds,7.73,⚠ Moderate,2025-08-23 18:29:42
Hoflein,Austria,48.0667,16.7833,19.28,Overcast clouds,6.61,⚠ Moderate,2025-08-23 18:29:46
Inzersdorf an der Traisen,Austria,48.3167,15.6667,18.29,Overcast clouds,4.5,✅ Safe,2025-08-23 18:29:48
Japons,Austria,48.7833,15.5667,16.88,Broken clouds,6.68,⚠ Moderate,2025-08-23 18:29:50
Jetzelsdorf,Austria,48.7,16.05,18.77,Overcast clouds,6.73,⚠ Moderate,2025-08-23 18:29:52
Judendorf,Austria,47.1167,15.35,20.41,Broken clouds,1.35,✅ Safe,2025-08-23 18:29:53
Kammern im Liesingtal,Austria,47.4,14.9,17.53,Overcast clouds,2.27,✅ Safe,2025-08-23 18:29:55
Kematen in Tirol,Austria,47.25,11.2667,19.03,Overcast clouds,2.27,✅ Safe,2025-08-23 18:29:57
Ketzelsdorf,Austria,48.65,16.65,18.57,Overcast clouds,7.74,⚠ Moderate,2025-08-23 18:29:59
Knittelfeld,Austria,47.2,14.8167,18.98,Overcast clouds,1.3,✅ Safe,2025-08-23 18:30:01
Krummnussbaum,Austria,48.2167,15.1667,18.56,Overcast clouds,5.98,⚠ Moderate,2025-08-23 18:30:03
Krustetten,Austria,48.36056,15.66426,19.27,Overcast clouds,4.33,✅ Safe,2025-08-23 18:30:05
Langenzersdorf,Austria,48.3,16.35,18.96,Broken clouds,4.86,✅ Safe,2025-08-23 18:30:07
Lembach,Austria,48.4833,13.8833,17.33,Overcast clouds,4.95,✅ Safe,2025-08-23 18:30:09
Leutschach,Austria,46.6667,15.4667,21.93,Heavy intensity rain,0.8,✅ Safe,2025-08-23 18:30:11
Limberg,Austria,48.5833,15.8667,18.31,Broken clouds,6.57,⚠ Moderate,2025-08-23 18:30:13
Manning,Austria,48.0833,13.6667,17.77,Overcast clouds,5.15,⚠ Moderate,2025-08-23 18:30:14
Marbach an der Donau,Austria,48.2167,15.15,18.21,Broken clouds,6.08,⚠ Moderate,2025-08-23 18:30:17
Markt Allhau,Austria,47.2333,16.0833,19.78,Overcast clouds,0.2,✅ Safe,2025-08-23 18:30:19
Mitterkirchen,Austria,48.1833,14.7,20.83,Overcast clouds,6.42,⚠ Moderate,2025-08-23 18:30:21
