Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Bock Cay,Bahamas,23.8167,-76.1667,29.06,Scattered clouds,3.34,✅ Safe,2025-08-23 17:18:18
Cape Eleuthera,Bahamas,24.9314461,-76.1899661,28.83,Overcast clouds,1.58,✅ Safe,2025-08-23 17:18:40
Congo Town,Bahamas,24.15,-77.5333,29.15,Clear sky,1.66,✅ Safe,2025-08-23 17:18:41
Gorda Cay,Bahamas,26.0833,-77.5333,27.66,Overcast clouds,3.13,✅ Safe,2025-08-23 17:18:43
Great Exuma Island,Bahamas,23.5333,-75.8333,28.66,Broken clouds,3.39,✅ Safe,2025-08-23 17:18:46
Great Harbour Cay,Bahamas,25.75,-77.8333,28.83,Broken clouds,3.47,✅ Safe,2025-08-23 17:18:49
Green Turtle Cay,Bahamas,26.75,-77.3333,28.03,Broken clouds,3.32,✅ Safe,2025-08-23 17:18:51
Harbour Island,Bahamas,25.5,-76.6333,28.87,Overcast clouds,1.57,✅ Safe,2025-08-23 17:18:52
Little San Salvador,Bahamas,24.5833,-75.9167,28.66,Moderate rain,1.47,✅ Safe,2025-08-23 17:18:54
Marsh Harbour,Bahamas,26.5333,-76.9667,28.21,Broken clouds,2.52,✅ Safe,2025-08-23 17:18:56
Nassau,Bahamas,25.0833,-77.35,29.13,Broken clouds,1.77,✅ Safe,2025-08-23 17:18:58
Rock Sound,Bahamas,24.9,-76.2,28.85,Overcast clouds,1.51,✅ Safe,2025-08-23 17:19:01
Stella Maris,Bahamas,23.6,-75.3,28.57,Overcast clouds,3.72,✅ Safe,2025-08-23 17:19:02
The Bight,Bahamas,24.3167,-75.4,28.76,Broken clouds,2.81,✅ Safe,2025-08-23 17:19:04
West End,Bahamas,26.6833,-78.9667,28.27,Few clouds,3.21,✅ Safe,2025-08-23 17:19:06
Cockburn Town,Bahamas,24.033,-74.517,28.42,Broken clouds,3.44,✅ Safe,2025-08-23 17:19:08
Little Stirrup Cay,Bahamas,25.817,-77.933,28.86,Broken clouds,3.24,✅ Safe,2025-08-23 17:19:10
"Freeport, Grand Bahama",Bahamas,26.5416093,-78.6455475,26.32,Scattered clouds,2.97,✅ Safe,2025-08-23 17:19:12
Great Stirrup Cay,Bahamas,25.833,-77.9,28.84,Broken clouds,3.31,✅ Safe,2025-08-23 17:19:14
Lucaya,Bahamas,26.517,-78.633,26.31,Scattered clouds,2.89,✅ Safe,2025-08-23 17:19:15
