Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Andenne,Belgium,50.4833,5.1,17.65,Overcast clouds,1.26,✅ Safe,2025-08-23 18:32:48
Antwerpen,Belgium,51.2167,4.4167,19.13,Overcast clouds,3.21,✅ Safe,2025-08-23 18:32:50
Appelterre-Eichem,Belgium,50.8167,3.9667,19.2,Overcast clouds,4.55,✅ Safe,2025-08-23 18:32:53
Astene,Belgium,50.9833,3.55,20.01,Scattered clouds,6.22,⚠ Moderate,2025-08-23 18:32:55
Athis,Belgium,50.3667,3.7667,18.68,Overcast clouds,2.78,✅ Safe,2025-08-23 18:32:58
Awirs,Belgium,50.6,5.4,17.43,Broken clouds,1.52,✅ Safe,2025-08-23 18:33:00
Baasrode,Belgium,51.0333,4.1667,19.35,Broken clouds,4.75,✅ Safe,2025-08-23 18:33:02
Baillonville,Belgium,50.2833,5.3333,17.03,Overcast clouds,2.32,✅ Safe,2025-08-23 18:33:05
Balgerhoek,Belgium,51.2,3.5167,19.92,Few clouds,6.03,⚠ Moderate,2025-08-23 18:33:07
Berchem,Belgium,50.7833,3.5,19.85,Overcast clouds,5.44,⚠ Moderate,2025-08-23 18:33:08
Blaregnies,Belgium,50.35,3.8833,18.33,Overcast clouds,2.96,✅ Safe,2025-08-23 18:33:11
Boortmeerbeek,Belgium,50.9833,4.5667,19.23,Overcast clouds,3.67,✅ Safe,2025-08-23 18:33:13
Bougnies,Belgium,50.3833,3.9333,18.53,Overcast clouds,3.06,✅ Safe,2025-08-23 18:33:14
Brussel (Bruxelles),Belgium,50.8333,4.3333,18.96,Overcast clouds,4.25,✅ Safe,2025-08-23 18:33:17
Charleroi,Belgium,50.4167,4.4333,18.11,Overcast clouds,2.16,✅ Safe,2025-08-23 18:33:19
Chertal,Belgium,50.6833,5.6667,18.02,Broken clouds,0.7,✅ Safe,2025-08-23 18:33:21
Courcelles,Belgium,50.4667,4.3667,17.87,Overcast clouds,2.65,✅ Safe,2025-08-23 18:33:23
Daknam,Belgium,51.1333,3.9833,19.49,Scattered clouds,5.32,⚠ Moderate,2025-08-23 18:33:24
Denderbelle,Belgium,51.0,4.0833,19.38,Broken clouds,5.19,⚠ Moderate,2025-08-23 18:33:28
Drongen,Belgium,51.05,3.6667,19.8,Scattered clouds,5.22,⚠ Moderate,2025-08-23 18:33:31
Eben-Emael,Belgium,50.8,5.6667,17.81,Scattered clouds,1.08,✅ Safe,2025-08-23 18:33:34
Eke,Belgium,50.95,3.6333,19.78,Broken clouds,5.38,⚠ Moderate,2025-08-23 18:33:38
Eksaarde,Belgium,51.15,3.9667,19.55,Scattered clouds,5.35,⚠ Moderate,2025-08-23 18:33:41
Ename,Belgium,50.85,3.6333,19.64,Broken clouds,5.29,⚠ Moderate,2025-08-23 18:33:42
Estaimpuis,Belgium,50.7,3.25,19.99,Overcast clouds,4.07,✅ Safe,2025-08-23 18:33:44
Ethe,Belgium,49.5833,5.5833,17.31,Overcast clouds,3.71,✅ Safe,2025-08-23 18:33:47
Franiere,Belgium,50.4333,4.7333,17.5,Overcast clouds,1.25,✅ Safe,2025-08-23 18:33:52
Gavere,Belgium,50.9333,3.6667,19.71,Broken clouds,5.15,⚠ Moderate,2025-08-23 18:33:53
Geel,Belgium,51.1667,5.0,18.99,Scattered clouds,3.91,✅ Safe,2025-08-23 18:33:55
Genenbos,Belgium,51.0167,5.2333,18.86,Overcast clouds,3.79,✅ Safe,2025-08-23 18:33:57
Gent (Ghent),Belgium,51.05,3.7167,19.71,Scattered clouds,5.05,⚠ Moderate,2025-08-23 18:33:59
Geraardsbergen,Belgium,50.7667,3.8667,19.22,Overcast clouds,4.12,✅ Safe,2025-08-23 18:34:01
Haccourt,Belgium,50.7333,5.6667,17.92,Scattered clouds,0.8,✅ Safe,2025-08-23 18:34:03
Halluin,Belgium,50.7833,3.1333,20.37,Overcast clouds,4.54,✅ Safe,2025-08-23 18:34:06
Hamme,Belgium,51.0833,3.5333,20.06,Scattered clouds,6.21,⚠ Moderate,2025-08-23 18:34:09
Ham-sur-Sambre,Belgium,50.4333,4.6667,17.8,Overcast clouds,1.39,✅ Safe,2025-08-23 18:34:11
Handzame,Belgium,51.0167,3.0,20.58,Broken clouds,6.17,⚠ Moderate,2025-08-23 18:34:14
Haren,Belgium,50.8833,4.4167,19.09,Overcast clouds,4.23,✅ Safe,2025-08-23 18:34:17
Herent,Belgium,51.2,5.45,18.79,Scattered clouds,4.75,✅ Safe,2025-08-23 18:34:20
Houx,Belgium,50.3,4.9,16.65,Overcast clouds,2.13,✅ Safe,2025-08-23 18:34:24
Huy,Belgium,50.5167,5.2333,18.09,Overcast clouds,1.44,✅ Safe,2025-08-23 18:34:26
Jambes,Belgium,50.45,4.8833,17.89,Overcast clouds,0.95,✅ Safe,2025-08-23 18:34:28
Jupille-sur-Meuse,Belgium,50.65,5.6333,18.07,Broken clouds,0.68,✅ Safe,2025-08-23 18:34:30
Kachtem,Belgium,50.9333,3.1833,20.37,Broken clouds,6.04,⚠ Moderate,2025-08-23 18:34:32
