Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Adlavik,Canada,54.9167,-58.9167,8.16,Broken clouds,4.79,✅ Safe,2025-08-23 17:19:22
Aguathuna,Canada,48.55,-58.7667,15.26,Clear sky,4.42,✅ Safe,2025-08-23 17:19:26
Anzac,Canada,56.4333,-111.0333,9.69,Overcast clouds,1.2,✅ Safe,2025-08-23 17:19:27
Arctic Bay,Canada,73.0333,-85.1667,6.37,Overcast clouds,2.95,✅ Safe,2025-08-23 17:19:29
Argentia,Canada,47.3,-54.0,11.51,Broken clouds,10.25,⚡ Dangerous,2025-08-23 17:19:31
Arichat,Canada,45.5167,-61.0167,15.63,Clear sky,2.31,✅ Safe,2025-08-23 17:19:32
Arnold's Cove,Canada,47.7667,-53.9833,11.72,Scattered clouds,7.13,⚠ Moderate,2025-08-23 17:19:34
Arviat,Canada,61.1,-94.05,8.12,Broken clouds,4.32,✅ Safe,2025-08-23 17:19:35
Asquith,Canada,52.1167,-107.2167,9.82,Few clouds,1.36,✅ Safe,2025-08-23 17:19:37
Atholville,Canada,47.9833,-66.7167,13.57,Light rain,1.0,✅ Safe,2025-08-23 17:19:39
Avondale,Canada,47.4167,-53.2,11.05,Overcast clouds,9.23,⚠ Moderate,2025-08-23 17:19:41
Avonport,Canada,45.1,-64.25,15.71,Few clouds,2.51,✅ Safe,2025-08-23 17:19:43
Baie Verte,Canada,49.9167,-56.1833,10.63,Few clouds,3.9,✅ Safe,2025-08-23 17:19:45
Baie-Johan-Beetz,Canada,50.3,-62.8333,13.97,Broken clouds,4.48,✅ Safe,2025-08-23 17:19:46
Baker Lake,Canada,64.3167,-96.0333,8.04,Broken clouds,2.51,✅ Safe,2025-08-23 17:19:48
Bala,Canada,45.0,-79.6,17.93,Overcast clouds,2.22,✅ Safe,2025-08-23 17:19:50
Bald Rock,Canada,44.4667,-63.5667,15.44,Scattered clouds,1.16,✅ Safe,2025-08-23 17:19:52
Bantry,Canada,50.4833,-111.7333,10.77,Clear sky,2.67,✅ Safe,2025-08-23 17:19:53
Barrington,Canada,43.5667,-65.5667,16.26,Clear sky,1.22,✅ Safe,2025-08-23 17:19:55
Bay Bulls,Canada,47.3333,-52.8333,10.08,Overcast clouds,10.67,⚡ Dangerous,2025-08-23 17:19:56
Bay Roberts,Canada,47.5833,-53.3,11.0,Overcast clouds,9.06,⚠ Moderate,2025-08-23 17:19:58
"Bayside, Charlotte",Canada,45.1333,-67.1167,17.24,Few clouds,3.12,✅ Safe,2025-08-23 17:20:00
Beach Point,Canada,46.0167,-62.4833,16.8,Scattered clouds,1.97,✅ Safe,2025-08-23 17:20:01
Beaver Cove,Canada,50.5167,-126.8667,12.53,Clear sky,0.53,✅ Safe,2025-08-23 17:20:03
Becancour,Canada,46.3333,-72.4333,19.39,Broken clouds,5.42,⚠ Moderate,2025-08-23 17:20:05
Bedford,Canada,44.7167,-63.6833,16.67,Scattered clouds,1.16,✅ Safe,2025-08-23 17:20:07
Beresford,Canada,47.6833,-65.7,14.86,Overcast clouds,3.11,✅ Safe,2025-08-23 17:20:20
Bobcaygeon,Canada,44.5333,-78.55,17.76,Overcast clouds,2.55,✅ Safe,2025-08-23 17:20:33
Borden,Canada,46.25,-63.7,16.79,Broken clouds,4.08,✅ Safe,2025-08-23 17:20:36
Botwood,Canada,49.15,-55.3667,11.84,Few clouds,5.28,⚠ Moderate,2025-08-23 17:20:39
Bouctouche,Canada,46.4667,-64.7167,16.19,Broken clouds,2.94,✅ Safe,2025-08-23 17:20:41
Bow City,Canada,50.4167,-112.2667,10.61,Clear sky,2.12,✅ Safe,2025-08-23 17:20:43
Bowen Island,Canada,49.3667,-123.3333,14.76,Clear sky,2.55,✅ Safe,2025-08-23 17:20:45
Brentwood Bay,Canada,48.5833,-123.45,15.14,Clear sky,1.57,✅ Safe,2025-08-23 17:20:47
Bull Arm,Canada,47.8333,-53.8667,11.58,Broken clouds,8.66,⚠ Moderate,2025-08-23 17:20:49
Burgeo,Canada,47.6,-57.6333,13.93,Clear sky,3.71,✅ Safe,2025-08-23 17:20:51
Burin,Canada,47.05,-55.1833,12.04,Broken clouds,9.29,⚠ Moderate,2025-08-23 17:20:53
Burnside,Canada,48.7,-53.8,10.5,Scattered clouds,8.69,⚠ Moderate,2025-08-23 17:20:55
Burrard Inlet,Canada,49.3,-123.1833,15.78,Clear sky,1.2,✅ Safe,2025-08-23 17:20:57
Cambridge Bay,Canada,69.1167,-105.0833,10.47,Broken clouds,2.7,✅ Safe,2025-08-23 17:20:58
Campbell River,Canada,50.0167,-125.25,15.33,Clear sky,2.73,✅ Safe,2025-08-23 17:21:00
Campbellford,Canada,44.3,-77.7833,18.03,Overcast clouds,1.94,✅ Safe,2025-08-23 17:21:02
Canso,Canada,45.3333,-61.0,15.76,Clear sky,3.27,✅ Safe,2025-08-23 17:21:04
Cap-Chat,Canada,49.0833,-66.6833,12.81,Moderate rain,2.75,✅ Safe,2025-08-23 17:21:06
Cape Ray,Canada,47.6333,-59.3,15.86,Clear sky,3.98,✅ Safe,2025-08-23 17:21:09
Cap-St-Ignace,Canada,47.0333,-70.45,19.99,Broken clouds,6.52,⚠ Moderate,2025-08-23 17:21:17
Carberry,Canada,49.8667,-99.35,13.34,Overcast clouds,5.51,⚠ Moderate,2025-08-23 17:21:18
Carbonear,Canada,47.7333,-53.25,10.77,Overcast clouds,8.93,⚠ Moderate,2025-08-23 17:21:20
Carmanville,Canada,49.3667,-54.2667,10.1,Scattered clouds,9.07,⚠ Moderate,2025-08-23 17:21:21
Catalina,Canada,48.5167,-53.0833,9.87,Overcast clouds,9.07,⚠ Moderate,2025-08-23 17:21:24
Change Islands,Canada,49.6667,-54.4167,9.59,Few clouds,10.18,⚡ Dangerous,2025-08-23 17:21:26
Channel-Port aux Basques,Canada,47.5667,-59.15,15.68,Clear sky,3.53,✅ Safe,2025-08-23 17:21:27
