Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Anpu,China,21.3833,109.8333,30.0,Clear sky,1.66,✅ Safe,2025-08-23 16:17:49
Anqing Pt,China,30.5167,117.0333,30.97,Few clouds,2.45,✅ Safe,2025-08-23 16:17:51
Anqiu,China,36.4167,119.1833,28.49,Overcast clouds,3.61,✅ Safe,2025-08-23 16:17:53
Anting,China,31.3,121.15,32.94,Few clouds,1.67,✅ Safe,2025-08-23 16:17:54
Aojiang Pt,China,27.5833,120.45,26.66,Clear sky,1.63,✅ Safe,2025-08-23 16:17:56
Bacao,China,25.4667,105.7833,24.48,Overcast clouds,1.28,✅ Safe,2025-08-23 16:17:57
Badong,China,31.0333,110.3833,28.23,Light rain,2.16,✅ Safe,2025-08-23 16:17:59
Baiceng,China,25.4333,105.8,24.9,Overcast clouds,1.17,✅ Safe,2025-08-23 16:18:00
Baimajing,China,19.7,109.2167,28.08,Scattered clouds,2.72,✅ Safe,2025-08-23 16:18:02
Baimao,China,35.0167,118.6,26.92,Light rain,0.75,✅ Safe,2025-08-23 16:18:03
Baiyang,China,30.4333,111.5167,29.74,Scattered clouds,3.73,✅ Safe,2025-08-23 16:18:05
Baoshan Pt,China,31.4167,121.4833,32.49,Overcast clouds,1.69,✅ Safe,2025-08-23 16:18:06
Basuo Pt,China,19.0,108.6167,28.35,Few clouds,5.65,⚠ Moderate,2025-08-23 16:18:08
Beihai Pt,China,21.4667,109.1167,29.69,Clear sky,1.56,✅ Safe,2025-08-23 16:18:10
Beijiao,China,22.9167,113.2,31.53,Broken clouds,4.61,✅ Safe,2025-08-23 16:18:11
Beitan,China,21.3667,110.25,28.39,Light rain,3.2,✅ Safe,2025-08-23 16:18:13
Bijia,China,22.6167,114.85,29.98,Heavy intensity rain,8.06,⚠ Moderate,2025-08-23 16:18:14
Binhai,China,33.7167,119.6167,28.13,Clear sky,2.93,✅ Safe,2025-08-23 16:18:16
Binyang,China,27.25,120.3333,26.58,Clear sky,1.42,✅ Safe,2025-08-23 16:18:18
