Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Aljmas,Croatia,45.5333,18.95,23.98,Broken clouds,4.21,✅ Safe,2025-08-23 21:30:36
Antenal,Croatia,45.3167,13.55,23.66,Broken clouds,2.3,✅ Safe,2025-08-23 21:30:37
Bakar,Croatia,45.3,14.5167,22.71,Broken clouds,0.85,✅ Safe,2025-08-23 21:30:39
Baska,Croatia,44.9667,14.75,22.93,Scattered clouds,1.19,✅ Safe,2025-08-23 21:30:41
Batina,Croatia,45.8667,18.8667,23.24,Overcast clouds,4.2,✅ Safe,2025-08-23 21:30:43
Belisce,Croatia,45.7,18.4167,22.61,Broken clouds,2.56,✅ Safe,2025-08-23 21:30:44
Biograd na Moru,Croatia,43.9333,15.45,25.81,Clear sky,2.15,✅ Safe,2025-08-23 21:30:46
Blace,Croatia,43.0167,17.4833,24.93,Clear sky,1.61,✅ Safe,2025-08-23 21:30:47
Bol,Croatia,43.2667,16.65,22.41,Clear sky,2.84,✅ Safe,2025-08-23 21:30:49
Borovo,Croatia,45.3667,18.9667,24.4,Broken clouds,4.21,✅ Safe,2025-08-23 21:30:51
Bozava,Croatia,44.1333,14.9,23.05,Clear sky,2.13,✅ Safe,2025-08-23 21:30:53
Brbinj/Lucina,Croatia,44.0833,15.0,23.23,Clear sky,2.0,✅ Safe,2025-08-23 21:30:55
Brioni,Croatia,44.9,13.75,24.05,Scattered clouds,1.52,✅ Safe,2025-08-23 21:30:57
Cavtat,Croatia,42.5667,18.2167,25.14,Clear sky,1.08,✅ Safe,2025-08-23 21:30:58
Cres,Croatia,44.95,14.4,23.79,Broken clouds,1.95,✅ Safe,2025-08-23 21:30:59
Crikvenica,Croatia,45.1833,14.7,22.4,Broken clouds,1.27,✅ Safe,2025-08-23 21:31:01
Dalj,Croatia,45.4833,18.9833,24.0,Broken clouds,4.22,✅ Safe,2025-08-23 21:31:02
Donje Celo,Croatia,42.6833,18.0,24.85,Few clouds,1.26,✅ Safe,2025-08-23 21:31:03
Drvenik,Croatia,43.15,16.25,24.38,Clear sky,2.06,✅ Safe,2025-08-23 21:31:05
Dubrovnik,Croatia,42.65,18.0833,25.01,Few clouds,1.2,✅ Safe,2025-08-23 21:31:06
Duga Resa,Croatia,45.4167,15.4833,21.88,Overcast clouds,2.26,✅ Safe,2025-08-23 21:31:13
Dugi Rat,Croatia,43.4333,16.6333,24.43,Clear sky,1.69,✅ Safe,2025-08-23 21:31:21
Erdut,Croatia,45.5333,19.0667,23.92,Broken clouds,4.32,✅ Safe,2025-08-23 21:31:25
Fazana,Croatia,44.9333,13.7333,23.86,Scattered clouds,1.55,✅ Safe,2025-08-23 21:31:26
Fericanci,Croatia,45.5167,17.9667,21.58,Overcast clouds,0.95,✅ Safe,2025-08-23 21:31:28
Gazenica,Croatia,44.1,15.2667,24.1,Few clouds,2.31,✅ Safe,2025-08-23 21:31:30
Hvar,Croatia,43.1667,16.4333,24.31,Clear sky,3.1,✅ Safe,2025-08-23 21:31:32
Ilok,Croatia,45.2167,19.3667,24.47,Broken clouds,5.11,⚠ Moderate,2025-08-23 21:31:34
Ist,Croatia,44.2667,14.7667,23.42,Few clouds,2.4,✅ Safe,2025-08-23 21:31:35
Jablanac,Croatia,44.7167,14.9,23.23,Scattered clouds,1.52,✅ Safe,2025-08-23 21:31:37
Jadrija,Croatia,43.7167,15.85,24.35,Clear sky,2.36,✅ Safe,2025-08-23 21:31:39
Jelsa,Croatia,43.1667,16.7,25.31,Clear sky,3.17,✅ Safe,2025-08-23 21:31:41
Kaprije,Croatia,43.6833,15.7167,23.19,Clear sky,1.91,✅ Safe,2025-08-23 21:31:43
Karlobag,Croatia,44.5167,15.0667,24.06,Scattered clouds,0.61,✅ Safe,2025-08-23 21:31:45
Kijevo,Croatia,44.0,16.35,21.82,Broken clouds,2.19,✅ Safe,2025-08-23 21:31:47
Klek,Croatia,42.95,17.5667,22.2,Few clouds,1.57,✅ Safe,2025-08-23 21:31:48
Klimno,Croatia,45.15,14.6333,22.91,Broken clouds,1.34,✅ Safe,2025-08-23 21:31:50
Komiza,Croatia,43.0333,16.0833,23.51,Clear sky,1.93,✅ Safe,2025-08-23 21:31:52
Korcula,Croatia,42.95,17.1167,24.83,Clear sky,2.2,✅ Safe,2025-08-23 21:31:54
Koromacno,Croatia,44.9667,14.1167,23.44,Broken clouds,0.43,✅ Safe,2025-08-23 21:31:56
Kostrena,Croatia,45.3,14.5,23.23,Broken clouds,0.84,✅ Safe,2025-08-23 21:31:58
Kraljevica,Croatia,45.2667,14.5667,23.52,Broken clouds,0.9,✅ Safe,2025-08-23 21:31:59
Krk,Croatia,45.0333,14.5833,22.07,Broken clouds,1.93,✅ Safe,2025-08-23 21:32:01
Lamjane,Croatia,44.0333,15.2,23.93,Clear sky,2.09,✅ Safe,2025-08-23 21:32:03
Lastovo,Croatia,42.7667,16.9,24.5,Clear sky,1.91,✅ Safe,2025-08-23 21:32:04
Lokrum,Croatia,42.6167,18.1333,25.24,Few clouds,1.19,✅ Safe,2025-08-23 21:32:06
Lopar,Croatia,44.8333,14.8,23.88,Scattered clouds,1.4,✅ Safe,2025-08-23 21:32:09
Lopud,Croatia,42.6833,17.95,24.93,Few clouds,1.24,✅ Safe,2025-08-23 21:32:11
Makarska,Croatia,43.3,17.0167,24.66,Clear sky,1.64,✅ Safe,2025-08-23 21:32:12
Mali Losinj,Croatia,44.5333,14.4667,23.2,Few clouds,1.59,✅ Safe,2025-08-23 21:32:14
Malinska,Croatia,45.1167,14.5333,23.62,Broken clouds,1.64,✅ Safe,2025-08-23 21:32:16
Martinscica,Croatia,44.8167,14.4167,22.48,Scattered clouds,1.71,✅ Safe,2025-08-23 21:32:18
Maslenica,Croatia,44.2167,15.5333,24.46,Few clouds,2.62,✅ Safe,2025-08-23 21:32:19
Merag,Croatia,44.9833,14.45,23.73,Broken clouds,2.07,✅ Safe,2025-08-23 21:32:21
Metkovic,Croatia,43.05,17.6333,25.95,Scattered clouds,2.25,✅ Safe,2025-08-23 21:32:23
Milna,Croatia,43.3167,16.45,24.13,Clear sky,2.35,✅ Safe,2025-08-23 21:32:25
Misnjak,Croatia,44.7,14.8667,23.84,Scattered clouds,1.68,✅ Safe,2025-08-23 21:32:26
Mohovo,Croatia,45.25,19.2167,24.72,Broken clouds,5.19,⚠ Moderate,2025-08-23 21:32:28
Momjan,Croatia,45.4333,13.7,22.43,Broken clouds,1.41,✅ Safe,2025-08-23 21:32:30
Moscenicka Draga,Croatia,45.2333,14.25,20.04,Broken clouds,0.66,✅ Safe,2025-08-23 21:32:32
Muna na Zirju,Croatia,43.6667,15.6667,23.5,Clear sky,1.69,✅ Safe,2025-08-23 21:32:34
Murter,Croatia,43.8167,15.6,23.97,Clear sky,2.09,✅ Safe,2025-08-23 21:32:35
Nerezine,Croatia,44.6667,14.4,23.33,Few clouds,1.31,✅ Safe,2025-08-23 21:32:37
Novalja,Croatia,44.55,14.8833,23.67,Few clouds,1.93,✅ Safe,2025-08-23 21:32:39
Novi Vinodolski,Croatia,45.1333,14.7833,22.89,Broken clouds,1.07,✅ Safe,2025-08-23 21:32:41
Novigrad,Croatia,45.3,13.55,23.67,Broken clouds,2.31,✅ Safe,2025-08-23 21:32:43
Novigrad (Dalmacija),Croatia,44.1833,15.55,26.63,Few clouds,2.87,✅ Safe,2025-08-23 21:32:45
Obonjan,Croatia,43.6833,15.7833,23.84,Clear sky,2.08,✅ Safe,2025-08-23 21:32:47
Omis,Croatia,43.45,16.7,22.89,Clear sky,1.69,✅ Safe,2025-08-23 21:32:49
Omisalj,Croatia,45.2167,14.55,22.87,Broken clouds,1.1,✅ Safe,2025-08-23 21:32:51
Opatija,Croatia,45.3333,14.3,19.67,Broken clouds,0.37,✅ Safe,2025-08-23 21:32:52
Opatovac,Croatia,45.2667,19.1667,24.76,Broken clouds,5.1,⚠ Moderate,2025-08-23 21:32:55
Orebic,Croatia,42.9667,17.1833,24.88,Clear sky,2.25,✅ Safe,2025-08-23 21:32:57
Osijek,Croatia,45.55,18.6833,23.84,Light rain,3.72,✅ Safe,2025-08-23 21:32:59
Pag,Croatia,44.4333,15.05,24.05,Few clouds,0.82,✅ Safe,2025-08-23 21:33:01
Ploce,Croatia,43.05,17.4333,24.84,Clear sky,1.7,✅ Safe,2025-08-23 21:33:02
Plomin,Croatia,45.1333,14.1667,22.88,Broken clouds,0.58,✅ Safe,2025-08-23 21:33:04
Polace,Croatia,42.7833,17.3833,24.76,Clear sky,2.03,✅ Safe,2025-08-23 21:33:06
Pomena,Croatia,42.7833,17.35,24.77,Clear sky,2.15,✅ Safe,2025-08-23 21:33:08
Porec,Croatia,45.2167,13.5833,23.79,Broken clouds,2.13,✅ Safe,2025-08-23 21:33:10
Porozina,Croatia,45.1333,14.1333,21.64,Broken clouds,0.46,✅ Safe,2025-08-23 21:33:12
Prapratno,Croatia,42.8167,17.6833,23.56,Few clouds,1.31,✅ Safe,2025-08-23 21:33:13
