Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Bahia Honda,Cuba,22.9,-83.1667,24.71,Few clouds,0.97,✅ Safe,2025-08-23 17:31:34
Banes,Cuba,20.9667,-75.7167,27.22,Overcast clouds,4.64,✅ Safe,2025-08-23 17:31:36
Boca Grande,Cuba,21.5833,-78.6667,26.08,Broken clouds,2.52,✅ Safe,2025-08-23 17:31:37
Bufadero,Cuba,21.5667,-77.2333,28.1,Overcast clouds,3.25,✅ Safe,2025-08-23 17:31:39
Cabanas,Cuba,22.9833,-82.9167,24.22,Clear sky,1.73,✅ Safe,2025-08-23 17:31:41
Caibarien,Cuba,22.5167,-79.4667,26.43,Broken clouds,1.74,✅ Safe,2025-08-23 17:31:42
Camaguey,Cuba,21.3833,-77.9167,25.19,Overcast clouds,3.0,✅ Safe,2025-08-23 17:31:44
Cardenas,Cuba,23.0333,-81.2,24.39,Few clouds,1.71,✅ Safe,2025-08-23 17:31:46
Casilda,Cuba,21.7667,-80.0,26.71,Overcast clouds,2.8,✅ Safe,2025-08-23 17:31:48
Ceiba Hueca,Cuba,20.2167,-77.3333,25.76,Overcast clouds,2.82,✅ Safe,2025-08-23 17:31:50
Gibara,Cuba,21.1,-76.1333,27.53,Overcast clouds,4.54,✅ Safe,2025-08-23 17:31:51
Jucaro,Cuba,21.6333,-78.85,26.25,Overcast clouds,2.87,✅ Safe,2025-08-23 17:31:53
La Habana,Cuba,23.1167,-82.35,23.55,Clear sky,1.14,✅ Safe,2025-08-23 17:31:55
Mariel,Cuba,23.0,-82.75,26.84,Clear sky,1.63,✅ Safe,2025-08-23 17:31:56
Media Luna,Cuba,20.15,-77.4333,25.87,Overcast clouds,2.19,✅ Safe,2025-08-23 17:31:58
Niquero,Cuba,20.05,-77.5833,26.66,Overcast clouds,2.05,✅ Safe,2025-08-23 17:32:00
Nuevitas,Cuba,21.55,-77.2667,27.96,Overcast clouds,3.1,✅ Safe,2025-08-23 17:32:02
Palo Alto,Cuba,21.6,-78.9667,26.83,Overcast clouds,3.47,✅ Safe,2025-08-23 17:32:03
Puerto da Vita,Cuba,21.0833,-75.9667,28.18,Overcast clouds,5.11,⚠ Moderate,2025-08-23 17:32:05
Puerto de Pastelillo,Cuba,21.55,-77.2167,28.1,Overcast clouds,3.25,✅ Safe,2025-08-23 17:32:07
Puerto Manati,Cuba,21.3667,-76.8333,27.4,Overcast clouds,3.35,✅ Safe,2025-08-23 17:32:08
Puerto Padre,Cuba,21.2,-76.6,27.01,Overcast clouds,2.5,✅ Safe,2025-08-23 17:32:10
Puerto Tarafa,Cuba,21.5667,-77.25,27.96,Overcast clouds,3.1,✅ Safe,2025-08-23 17:32:11
Sagua de Tanamo,Cuba,20.5833,-75.2333,25.92,Overcast clouds,1.18,✅ Safe,2025-08-23 17:32:13
Sagua la Grande,Cuba,22.8,-80.0667,25.7,Scattered clouds,1.57,✅ Safe,2025-08-23 17:32:14
Tunas de Zaza,Cuba,21.6333,-79.55,26.62,Broken clouds,3.79,✅ Safe,2025-08-23 17:32:16
Santiago de Cuba,Cuba,20.01693,-75.8301537,25.0,Overcast clouds,0.85,✅ Safe,2025-08-23 17:32:18
