Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Aarhus,Denmark,56.15,10.2167,17.99,Clear sky,6.08,⚠ Moderate,2025-08-23 19:10:00
Abenra,Denmark,55.0333,9.4333,19.04,Few clouds,6.12,⚠ Moderate,2025-08-23 19:10:02
Abybro,Denmark,57.15,9.75,17.62,Clear sky,5.36,⚠ Moderate,2025-08-23 19:10:03
Akirkeby,Denmark,55.0667,14.9333,15.69,Broken clouds,4.1,✅ Safe,2025-08-23 19:10:05
Allinge,Denmark,55.2667,14.8,15.63,Scattered clouds,3.85,✅ Safe,2025-08-23 19:10:06
Aro,Denmark,55.2667,9.75,18.1,Clear sky,6.41,⚠ Moderate,2025-08-23 19:10:08
Arosund,Denmark,55.25,9.7167,18.94,Clear sky,6.28,⚠ Moderate,2025-08-23 19:10:10
Asaa,Denmark,57.15,10.4167,17.9,Clear sky,6.63,⚠ Moderate,2025-08-23 19:10:12
Avernak By,Denmark,55.0333,10.2667,18.68,Few clouds,6.2,⚠ Moderate,2025-08-23 19:10:14
Baelum,Denmark,56.8167,10.1,17.84,Clear sky,6.83,⚠ Moderate,2025-08-23 19:10:15
Ballen,Denmark,55.8167,10.65,16.12,Clear sky,7.67,⚠ Moderate,2025-08-23 19:10:17
Blavand,Denmark,55.55,8.1333,17.55,Clear sky,7.69,⚠ Moderate,2025-08-23 19:10:18
Bogense,Denmark,55.5667,10.0833,17.83,Scattered clouds,5.02,⚠ Moderate,2025-08-23 19:10:20
Bogo By,Denmark,54.9333,12.05,16.46,Broken clouds,8.55,⚠ Moderate,2025-08-23 19:10:21
Bojden,Denmark,55.1,10.0833,17.93,Clear sky,6.45,⚠ Moderate,2025-08-23 19:10:22
Bovlingbjerg,Denmark,56.4333,8.2,17.25,Clear sky,5.61,⚠ Moderate,2025-08-23 19:10:24
Christianso Havn,Denmark,55.3167,15.1833,16.09,Few clouds,5.5,⚠ Moderate,2025-08-23 19:10:26
Dannemare,Denmark,54.75,11.2,18.27,Clear sky,9.2,⚠ Moderate,2025-08-23 19:10:27
