Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Abaja Sadam,Estonia,58.3667,22.0167,15.57,Overcast clouds,9.08,⚠ Moderate,2025-08-23 19:13:50
Abruka,Estonia,58.1667,22.5333,15.72,Broken clouds,1.61,✅ Safe,2025-08-23 19:13:52
Admirali Vaikesadam,Estonia,58.5333,23.6833,14.74,Light rain,2.09,✅ Safe,2025-08-23 19:13:54
Aegna,Estonia,59.5667,24.75,15.28,Overcast clouds,1.48,✅ Safe,2025-08-23 19:13:56
Ahoi Joesadam,Estonia,58.2167,22.3667,15.21,Broken clouds,2.38,✅ Safe,2025-08-23 19:13:58
Alajoe,Estonia,59.0167,27.4333,15.12,Broken clouds,5.38,⚠ Moderate,2025-08-23 19:14:00
Alajoe Joesadam,Estonia,59.0167,27.4333,15.12,Broken clouds,5.38,⚠ Moderate,2025-08-23 19:14:02
Alajoe Kalasadam,Estonia,59.0,27.4333,15.12,Broken clouds,5.38,⚠ Moderate,2025-08-23 19:14:04
Aseri,Estonia,59.45,26.8667,14.79,Moderate rain,1.02,✅ Safe,2025-08-23 19:14:05
Aseri Vaikesadam,Estonia,59.45,26.8667,14.79,Moderate rain,1.02,✅ Safe,2025-08-23 19:14:07
Atla,Estonia,58.3,21.9,15.55,Overcast clouds,9.45,⚠ Moderate,2025-08-23 19:14:08
Bekkeri,Estonia,59.45,24.65,15.12,Overcast clouds,1.47,✅ Safe,2025-08-23 19:14:10
Dirhami,Estonia,59.2167,23.5,15.87,Overcast clouds,3.73,✅ Safe,2025-08-23 19:14:12
Doberani,Estonia,58.3833,24.3667,14.88,Few clouds,5.27,⚠ Moderate,2025-08-23 19:14:14
Eisma,Estonia,59.5667,26.3,14.67,Overcast clouds,1.11,✅ Safe,2025-08-23 19:14:16
Haapsalu,Estonia,58.9333,23.5333,14.66,Moderate rain,4.87,✅ Safe,2025-08-23 19:14:18
Haapsalu Veskiviigi,Estonia,58.9667,23.5333,14.69,Moderate rain,4.49,✅ Safe,2025-08-23 19:14:19
Haldi,Estonia,58.8,22.45,15.53,Moderate rain,5.79,⚠ Moderate,2025-08-23 19:14:21
Hara Sadam,Estonia,59.5833,25.6167,15.14,Overcast clouds,0.82,✅ Safe,2025-08-23 19:14:23
Hara Sadam,Estonia,59.0833,23.5333,15.57,Light rain,3.76,✅ Safe,2025-08-23 19:14:25
Heltermaa,Estonia,58.8667,23.05,14.9,Moderate rain,7.78,⚠ Moderate,2025-08-23 19:14:27
Hiiessaare,Estonia,59.0,22.85,15.81,Overcast clouds,5.08,⚠ Moderate,2025-08-23 19:14:29
Hundipea,Estonia,59.4667,24.7167,15.11,Overcast clouds,1.45,✅ Safe,2025-08-23 19:14:31
Jaagupi,Estonia,58.0333,24.4667,15.04,Broken clouds,7.06,⚠ Moderate,2025-08-23 19:14:33
Joe Paadisadam,Estonia,58.3667,26.7333,14.91,Broken clouds,4.09,✅ Safe,2025-08-23 19:14:35
Joekaaru,Estonia,58.9833,27.1833,14.77,Broken clouds,4.33,✅ Safe,2025-08-23 19:14:37
Juheta,Estonia,58.3833,24.2833,14.77,Few clouds,4.83,✅ Safe,2025-08-23 19:14:38
Kaavi Paadisadam,Estonia,57.9833,22.2,15.05,Broken clouds,3.1,✅ Safe,2025-08-23 19:14:40
Kaberneeme Sadam,Estonia,59.5167,25.2833,14.51,Overcast clouds,1.78,✅ Safe,2025-08-23 19:14:42
Kakumae,Estonia,59.45,24.6,15.18,Overcast clouds,1.48,✅ Safe,2025-08-23 19:14:44
Kalana,Estonia,58.9167,22.05,15.8,Overcast clouds,9.16,⚠ Moderate,2025-08-23 19:14:45
Kalasadam,Estonia,59.45,24.75,14.92,Overcast clouds,1.55,✅ Safe,2025-08-23 19:14:48
Kaldu,Estonia,58.45,23.2667,15.46,Few clouds,1.9,✅ Safe,2025-08-23 19:14:50
Kalevi Jahtklubi,Estonia,59.4667,24.8333,14.97,Overcast clouds,1.7,✅ Safe,2025-08-23 19:14:51
Kallaste,Estonia,58.65,23.2667,14.68,Light rain,5.65,⚠ Moderate,2025-08-23 19:14:53
Kallaste,Estonia,58.65,27.15,15.15,Broken clouds,6.42,⚠ Moderate,2025-08-23 19:14:55
Kallaste Paadisadam,Estonia,58.6667,27.1667,15.24,Broken clouds,6.5,⚠ Moderate,2025-08-23 19:14:56
Kallaste Rannasadam,Estonia,58.6667,27.1667,15.24,Broken clouds,6.5,⚠ Moderate,2025-08-23 19:14:58
Kalmakula Sadam,Estonia,58.8833,26.9667,14.85,Light rain,4.08,✅ Safe,2025-08-23 19:15:00
Kardla,Estonia,59.0,22.75,15.78,Overcast clouds,4.66,✅ Safe,2025-08-23 19:15:02
Karepa Sadam,Estonia,59.55,26.4167,14.77,Overcast clouds,1.11,✅ Safe,2025-08-23 19:15:04
Karlova Paadisadam,Estonia,58.3667,26.75,14.91,Broken clouds,4.09,✅ Safe,2025-08-23 19:15:06
Karsa,Estonia,58.25,22.7333,15.68,Moderate rain,1.85,✅ Safe,2025-08-23 19:15:08
Kassari Sadam,Estonia,58.7667,22.8333,15.6,Moderate rain,7.39,⚠ Moderate,2025-08-23 19:15:10
Kastna,Estonia,58.3333,23.9167,14.76,Clear sky,3.97,✅ Safe,2025-08-23 19:15:12
Kaunispe,Estonia,58.05,22.0667,15.58,Light rain,3.59,✅ Safe,2025-08-23 19:15:13
Kavaru,Estonia,58.2667,24.1667,14.78,Few clouds,6.14,⚠ Moderate,2025-08-23 19:15:16
Kelnase,Estonia,59.6333,25.0167,15.33,Overcast clouds,2.24,✅ Safe,2025-08-23 19:15:17
Kelvingi,Estonia,59.55,24.8333,15.28,Overcast clouds,1.79,✅ Safe,2025-08-23 19:15:18
Kesse-Jaani,Estonia,58.6333,23.45,15.33,Scattered clouds,4.56,✅ Safe,2025-08-23 19:15:20
Kihnu,Estonia,58.1333,24.0167,14.75,Scattered clouds,7.0,⚠ Moderate,2025-08-23 19:15:22
Kiideva,Estonia,58.7667,23.5333,14.62,Light rain,5.59,⚠ Moderate,2025-08-23 19:15:24
Koguva,Estonia,58.6,23.0667,15.53,Light rain,5.11,⚠ Moderate,2025-08-23 19:15:26
Koiguste,Estonia,58.3667,22.9667,15.65,Overcast clouds,1.83,✅ Safe,2025-08-23 19:15:28
Koljunuki,Estonia,59.5,25.0833,14.86,Overcast clouds,2.05,✅ Safe,2025-08-23 19:15:30
Kolkja,Estonia,58.55,27.2167,15.14,Broken clouds,6.07,⚠ Moderate,2025-08-23 19:15:32
Korgessaare,Estonia,58.9667,22.4667,15.01,Overcast clouds,5.81,⚠ Moderate,2025-08-23 19:15:34
Kuivastu,Estonia,58.5667,23.3833,14.69,Few clouds,3.59,✅ Safe,2025-08-23 19:15:35
Kunda,Estonia,59.5167,26.5333,14.68,Light rain,0.92,✅ Safe,2025-08-23 19:15:37
Kungla,Estonia,58.35,22.95,15.03,Overcast clouds,1.79,✅ Safe,2025-08-23 19:15:39
Kuressaare,Estonia,58.25,22.5,15.18,Broken clouds,2.15,✅ Safe,2025-08-23 19:15:41
Kuressaare sadam,Estonia,58.25,22.4667,15.23,Broken clouds,2.28,✅ Safe,2025-08-23 19:15:43
Kurkse,Estonia,59.2667,24.0167,14.89,Overcast clouds,2.78,✅ Safe,2025-08-23 19:15:45
Laaksaare,Estonia,58.3333,27.4167,15.48,Scattered clouds,6.0,⚠ Moderate,2025-08-23 19:15:47
Laane,Estonia,58.5333,23.6833,14.74,Light rain,2.09,✅ Safe,2025-08-23 19:15:48
Laatsa,Estonia,58.1333,22.25,15.69,Broken clouds,2.41,✅ Safe,2025-08-23 19:15:50
Lahesuu,Estonia,59.45,24.7,15.0,Overcast clouds,1.52,✅ Safe,2025-08-23 19:15:52
Lao,Estonia,58.2333,24.1167,15.22,Few clouds,6.48,⚠ Moderate,2025-08-23 19:15:54
Lautri,Estonia,58.9167,22.0833,15.82,Overcast clouds,9.06,⚠ Moderate,2025-08-23 19:15:56
Lehtma,Estonia,59.0667,22.7,15.01,Overcast clouds,4.44,✅ Safe,2025-08-23 19:15:57
Lehtma Kalurisadam,Estonia,59.0667,22.7,15.01,Overcast clouds,4.44,✅ Safe,2025-08-23 19:15:59
Lennusadam,Estonia,59.45,24.7333,14.92,Overcast clouds,1.55,✅ Safe,2025-08-23 19:16:01
Leppneeme,Estonia,59.5333,24.85,15.03,Overcast clouds,1.74,✅ Safe,2025-08-23 19:16:03
Leppneeme Kalasadam,Estonia,59.55,24.8667,15.28,Overcast clouds,1.79,✅ Safe,2025-08-23 19:16:05
Lindi,Estonia,58.3333,24.2833,14.81,Few clouds,6.05,⚠ Moderate,2025-08-23 19:16:07
Liu,Estonia,58.2833,24.2667,14.8,Few clouds,6.72,⚠ Moderate,2025-08-23 19:16:08
Lohusalu,Estonia,59.4,24.2167,15.49,Overcast clouds,2.38,✅ Safe,2025-08-23 19:16:10
Loksa,Estonia,59.5833,25.7,14.58,Overcast clouds,0.51,✅ Safe,2025-08-23 19:16:11
Lomala,Estonia,58.1667,22.1167,15.64,Overcast clouds,4.43,✅ Safe,2025-08-23 19:16:14
Lopesuu,Estonia,58.4833,23.2667,14.81,Few clouds,2.38,✅ Safe,2025-08-23 19:16:15
Lounaranna,Estonia,58.5333,23.3167,15.39,Few clouds,3.0,✅ Safe,2025-08-23 19:16:17
Luige Vaikesadam,Estonia,58.8667,23.4833,15.34,Heavy intensity rain,6.23,⚠ Moderate,2025-08-23 19:16:19
Mahu Sadam,Estonia,59.5167,23.7167,16.08,Overcast clouds,1.6,✅ Safe,2025-08-23 19:16:21
Manilaiu,Estonia,59.2167,24.1333,14.81,Overcast clouds,2.67,✅ Safe,2025-08-23 19:16:23
Manni,Estonia,58.5167,23.6667,15.41,Moderate rain,2.14,✅ Safe,2025-08-23 19:16:24
Meeruse,Estonia,59.45,24.6667,15.12,Overcast clouds,1.47,✅ Safe,2025-08-23 19:16:25
Mehikoorma Sadam,Estonia,58.2333,27.4833,15.52,Clear sky,5.26,⚠ Moderate,2025-08-23 19:16:27
Merelaiu,Estonia,58.3,24.0167,14.8,Few clouds,4.49,✅ Safe,2025-08-23 19:16:29
Mihkli Sadam,Estonia,58.7833,26.9833,15.12,Moderate rain,4.92,✅ Safe,2025-08-23 19:16:30
Miiduranna,Estonia,59.5,24.8167,15.15,Overcast clouds,1.55,✅ Safe,2025-08-23 19:16:32
