Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Hoyvik,Faroe Islands,62.0333,-6.75,11.23,Clear sky,5.57,⚠ Moderate,2025-08-23 20:11:20
Kollafjordur,Faroe Islands,62.1167,-6.8833,12.28,Clear sky,5.04,⚠ Moderate,2025-08-23 20:11:22
Nolsoy,Faroe Islands,62.0167,-6.6667,11.33,Clear sky,5.81,⚠ Moderate,2025-08-23 20:11:24
Noryskali,Faroe Islands,62.2167,-7.0,12.7,Clear sky,3.52,✅ Safe,2025-08-23 20:11:25
Runavik,Faroe Islands,62.1167,-6.7167,11.53,Clear sky,6.43,⚠ Moderate,2025-08-23 20:11:27
Skali,Faroe Islands,62.15,-6.7667,11.51,Clear sky,6.67,⚠ Moderate,2025-08-23 20:11:29
Sorvagur,Faroe Islands,62.0667,-7.3,10.53,Clear sky,5.78,⚠ Moderate,2025-08-23 20:11:32
Streymnes,Faroe Islands,62.2,-7.0167,10.67,Clear sky,2.96,✅ Safe,2025-08-23 20:11:33
Thorshavn,Faroe Islands,62.0167,-6.7667,11.03,Clear sky,5.47,⚠ Moderate,2025-08-23 20:11:35
Torshavn,Faroe Islands,62.0107248,-6.7740852,11.32,Clear sky,5.42,⚠ Moderate,2025-08-23 20:11:37
Tvoroyri,Faroe Islands,61.55,-6.8,11.68,Few clouds,7.51,⚠ Moderate,2025-08-23 20:11:39
Vagur,Faroe Islands,61.4667,-6.8167,10.45,Scattered clouds,7.38,⚠ Moderate,2025-08-23 20:11:40
Eidi,Faroe Islands,62.3,-7.083,13.28,Clear sky,2.45,✅ Safe,2025-08-23 20:11:43
Hvannasund,Faroe Islands,62.3,-6.51667,9.38,Clear sky,8.42,⚠ Moderate,2025-08-23 20:11:44
Leirvik,Faroe Islands,62.21667,-6.7,11.4,Clear sky,8.04,⚠ Moderate,2025-08-23 20:11:46
Nordregote,Faroe Islands,62.2,-6.73333,9.12,Clear sky,7.64,⚠ Moderate,2025-08-23 20:11:48
Runavik,Faroe Islands,62.11667,-6.71667,11.53,Clear sky,6.43,⚠ Moderate,2025-08-23 20:11:50
Sjovar havn,Faroe Islands,62.1,-6.75,11.64,Clear sky,6.02,⚠ Moderate,2025-08-23 20:11:51
Strendur,Faroe Islands,62.117,-6.75,10.3,Clear sky,6.22,⚠ Moderate,2025-08-23 20:11:54
Toftir,Faroe Islands,62.1,-6.733,11.46,Clear sky,6.21,⚠ Moderate,2025-08-23 20:11:56
