Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Abbeville,France,50.1,1.8333,21.52,Overcast clouds,3.0,✅ Safe,2025-08-23 20:11:58
Achery,France,49.6833,3.3833,20.84,Overcast clouds,4.52,✅ Safe,2025-08-23 20:12:00
Agen,France,44.2,0.6167,30.86,Clear sky,2.78,✅ Safe,2025-08-23 20:12:02
Aiserey,France,47.1667,5.1667,23.49,Overcast clouds,4.33,✅ Safe,2025-08-23 20:12:04
Ajaccio,France,41.9333,8.7333,24.85,Clear sky,3.7,✅ Safe,2025-08-23 20:12:06
Allamps,France,48.55,5.8167,18.76,Overcast clouds,3.69,✅ Safe,2025-08-23 20:12:08
Ambes,France,45.0,-0.5333,30.96,Few clouds,2.36,✅ Safe,2025-08-23 20:12:10
Ambly-sur-Meuse,France,49.0167,5.45,18.92,Overcast clouds,4.65,✅ Safe,2025-08-23 20:12:11
Andernos-les-Bains,France,44.7333,-1.1,28.83,Clear sky,4.75,✅ Safe,2025-08-23 20:12:13
Anse,France,45.9333,4.7167,25.65,Overcast clouds,5.21,⚠ Moderate,2025-08-23 20:12:15
Antibes,France,43.5833,7.1167,27.29,Clear sky,2.66,✅ Safe,2025-08-23 20:12:17
Apach,France,49.45,6.3667,18.74,Overcast clouds,4.47,✅ Safe,2025-08-23 20:12:19
Aramon,France,43.9,4.6667,29.86,Clear sky,10.17,⚡ Dangerous,2025-08-23 20:12:20
Arcachon,France,44.6667,-1.1667,24.25,Clear sky,6.63,⚠ Moderate,2025-08-23 20:12:22
Ardres,France,50.85,1.9833,20.75,Broken clouds,5.53,⚠ Moderate,2025-08-23 20:12:25
Ares,France,44.7667,-1.1333,28.35,Clear sky,5.63,⚠ Moderate,2025-08-23 20:12:27
Argancy,France,49.2,6.2,19.25,Overcast clouds,3.68,✅ Safe,2025-08-23 20:12:28
Argeliers,France,43.3,2.9,32.25,Clear sky,4.29,✅ Safe,2025-08-23 20:12:30
Argenton,France,46.586446,1.52282,26.01,Scattered clouds,3.85,✅ Safe,2025-08-23 20:12:32
Armentieres,France,50.6833,2.8833,20.85,Overcast clouds,5.55,⚠ Moderate,2025-08-23 20:12:34
Arras,France,50.2833,2.7833,20.57,Overcast clouds,2.83,✅ Safe,2025-08-23 20:12:36
Asnieres-sur-Seine,France,48.9167,2.2833,23.73,Broken clouds,2.07,✅ Safe,2025-08-23 20:12:38
Aubais,France,43.754854,4.14742,30.59,Clear sky,0.86,✅ Safe,2025-08-23 20:12:40
Audierne,France,48.0167,-4.55,21.02,Overcast clouds,2.44,✅ Safe,2025-08-23 20:12:42
Audruicq,France,50.8667,2.0667,20.74,Broken clouds,5.56,⚠ Moderate,2025-08-23 20:12:44
Auvers-sur-Oise,France,49.0667,2.1833,23.69,Overcast clouds,3.44,✅ Safe,2025-08-23 20:12:46
Auxerre,France,47.8,3.5667,23.52,Broken clouds,5.0,⚠ Moderate,2025-08-23 20:12:47
Avignon,France,43.95,4.8,29.53,Clear sky,10.42,⚡ Dangerous,2025-08-23 20:12:49
Ay,France,49.05,4.0,20.92,Overcast clouds,4.36,✅ Safe,2025-08-23 20:12:51
Aytre,France,46.1333,-1.1,24.56,Scattered clouds,4.92,✅ Safe,2025-08-23 20:12:52
Azille,France,43.2833,2.6667,31.6,Clear sky,4.86,✅ Safe,2025-08-23 20:12:54
Baden,France,47.6167,-2.9167,23.4,Overcast clouds,5.54,⚠ Moderate,2025-08-23 20:12:56
