Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Abbehausen,Germany,53.4833,8.4333,18.23,Clear sky,7.74,⚠ Moderate,2025-08-23 18:50:35
Abbenfleth,Germany,53.6667,9.4833,18.31,Clear sky,6.29,⚠ Moderate,2025-08-23 18:50:37
Abbesbuttel,Germany,52.35,10.5667,17.5,Broken clouds,7.15,⚠ Moderate,2025-08-23 18:50:38
Achmer,Germany,52.4,7.9333,18.06,Overcast clouds,5.72,⚠ Moderate,2025-08-23 18:50:40
Achterwehr,Germany,54.3167,9.9667,18.57,Clear sky,5.61,⚠ Moderate,2025-08-23 18:50:41
Aitrach,Germany,47.95,10.0833,18.16,Broken clouds,3.1,✅ Safe,2025-08-23 18:50:43
Alf,Germany,50.05,7.1167,17.82,Overcast clouds,2.74,✅ Safe,2025-08-23 18:50:44
Alsleben,Germany,51.7,11.6667,16.98,Overcast clouds,8.13,⚠ Moderate,2025-08-23 18:50:46
Alt Bork,Germany,52.1833,12.8667,16.46,Overcast clouds,5.69,⚠ Moderate,2025-08-23 18:50:47
Altenbruch Reede,Germany,53.85,8.8,16.91,Clear sky,7.6,⚠ Moderate,2025-08-23 18:50:49
Altengors,Germany,53.9,10.2,18.1,Clear sky,5.67,⚠ Moderate,2025-08-23 18:50:53
Altenlingen,Germany,52.55,7.3,18.37,Overcast clouds,5.35,⚠ Moderate,2025-08-23 18:50:54
Altenwerder,Germany,53.5167,9.9167,18.17,Few clouds,5.66,⚠ Moderate,2025-08-23 18:50:57
Amberg,Germany,49.4333,11.8667,17.39,Broken clouds,5.69,⚠ Moderate,2025-08-23 18:50:58
Amelsburen,Germany,51.8833,7.6,18.33,Overcast clouds,5.12,⚠ Moderate,2025-08-23 18:51:00
Ammerland,Germany,53.2577806,7.9222968,18.25,Light rain,6.63,⚠ Moderate,2025-08-23 18:51:02
Amrum,Germany,54.65,8.35,18.23,Clear sky,7.46,⚠ Moderate,2025-08-23 18:51:04
Andernach,Germany,50.4333,7.4,17.87,Broken clouds,2.72,✅ Safe,2025-08-23 18:51:05
Apen,Germany,53.2167,7.8,18.3,Overcast clouds,6.56,⚠ Moderate,2025-08-23 18:51:07
Arendsee,Germany,52.8833,11.4833,17.55,Light rain,6.91,⚠ Moderate,2025-08-23 18:51:09
Arnsberg,Germany,51.3833,8.0833,17.41,Clear sky,4.85,✅ Safe,2025-08-23 18:51:10
Audorf,Germany,54.3167,9.7167,18.5,Clear sky,5.05,⚠ Moderate,2025-08-23 18:51:12
Augustfehn,Germany,53.2167,7.7667,18.28,Overcast clouds,6.59,⚠ Moderate,2025-08-23 18:51:13
Aurich,Germany,53.4667,7.4833,18.31,Scattered clouds,7.1,⚠ Moderate,2025-08-23 18:51:15
Bacharach,Germany,50.05,7.7667,17.54,Overcast clouds,3.8,✅ Safe,2025-08-23 18:51:17
Bad Bevensen,Germany,53.0833,10.5833,17.78,Broken clouds,4.8,✅ Safe,2025-08-23 18:51:19
Bad Durrenberg,Germany,51.2833,12.05,17.31,Broken clouds,7.36,⚠ Moderate,2025-08-23 18:51:20
Bad Durrheim,Germany,48.0167,8.5333,18.19,Overcast clouds,4.06,✅ Safe,2025-08-23 18:51:22
Bad Essen,Germany,52.3167,8.3333,17.24,Overcast clouds,6.92,⚠ Moderate,2025-08-23 18:51:24
Bahlingen,Germany,48.1167,7.7333,21.21,Overcast clouds,2.17,✅ Safe,2025-08-23 18:51:26
Ballrechten,Germany,47.8667,7.7,21.26,Overcast clouds,2.39,✅ Safe,2025-08-23 18:51:27
Baltrum,Germany,53.7333,7.3667,16.68,Clear sky,8.71,⚠ Moderate,2025-08-23 18:51:29
Barbing,Germany,49.0,12.2,18.27,Overcast clouds,4.19,✅ Safe,2025-08-23 18:51:31
Barnkrug,Germany,53.6833,9.4667,18.31,Clear sky,6.29,⚠ Moderate,2025-08-23 18:51:33
Basbeck,Germany,53.6833,9.1833,18.29,Clear sky,7.37,⚠ Moderate,2025-08-23 18:51:35
Beddingen,Germany,52.1833,10.4167,17.56,Light rain,7.77,⚠ Moderate,2025-08-23 18:51:36
Beeskow,Germany,52.1667,14.2333,15.77,Light rain,5.28,⚠ Moderate,2025-08-23 18:51:38
Belgern,Germany,51.4833,13.1167,16.32,Broken clouds,6.89,⚠ Moderate,2025-08-23 18:51:40
Bendorf/Rhein,Germany,50.4167,7.5667,18.73,Broken clouds,2.54,✅ Safe,2025-08-23 18:51:42
Bensersiel,Germany,53.6833,7.5833,16.88,Clear sky,8.46,⚠ Moderate,2025-08-23 18:51:43
Berggiesshubel,Germany,50.8667,13.9333,14.94,Overcast clouds,3.04,✅ Safe,2025-08-23 18:51:45
Bergisch Gladbach,Germany,50.9833,7.1333,18.45,Overcast clouds,3.59,✅ Safe,2025-08-23 18:51:47
Berlin,Germany,52.5167,13.3833,15.99,Overcast clouds,5.52,⚠ Moderate,2025-08-23 18:51:49
Bermatingen,Germany,47.7333,9.3333,20.02,Overcast clouds,1.83,✅ Safe,2025-08-23 18:51:51
Bertingen,Germany,52.35,11.8333,17.17,Overcast clouds,6.61,⚠ Moderate,2025-08-23 18:51:52
Biene,Germany,52.5667,7.2833,18.42,Overcast clouds,5.25,⚠ Moderate,2025-08-23 18:51:54
Biere,Germany,51.9667,11.65,17.14,Overcast clouds,8.72,⚠ Moderate,2025-08-23 18:51:56
Bindow,Germany,52.2833,13.75,15.96,Overcast clouds,5.06,⚠ Moderate,2025-08-23 18:51:57
Bingen am Rhein,Germany,49.9667,7.8833,18.05,Overcast clouds,4.29,✅ Safe,2025-08-23 18:51:59
Binz,Germany,54.4,13.6,15.35,Overcast clouds,9.23,⚠ Moderate,2025-08-23 18:52:01
Birklar,Germany,50.5,8.8167,17.88,Broken clouds,5.34,⚠ Moderate,2025-08-23 18:52:02
Birkweiler,Germany,49.2,8.0333,19.81,Overcast clouds,4.02,✅ Safe,2025-08-23 18:52:04
Blankenheim,Germany,50.4333,6.65,15.91,Broken clouds,3.12,✅ Safe,2025-08-23 18:52:06
Blumenthal/Bremen,Germany,53.1833,8.5833,18.15,Moderate rain,6.1,⚠ Moderate,2025-08-23 18:52:07
Bockenem,Germany,52.0167,10.1333,17.41,Light rain,7.27,⚠ Moderate,2025-08-23 18:52:09
Bockholdt,Germany,52.8833,10.1167,17.56,Scattered clouds,5.19,⚠ Moderate,2025-08-23 18:52:10
Bodenteich,Germany,52.85,10.6667,17.29,Broken clouds,6.24,⚠ Moderate,2025-08-23 18:52:12
Boffzen,Germany,51.75,9.3833,17.69,Light rain,4.98,✅ Safe,2025-08-23 18:52:14
Boizenburg,Germany,53.3833,10.7167,17.83,Scattered clouds,6.47,⚠ Moderate,2025-08-23 18:52:16
Bokel,Germany,53.3833,8.7667,18.13,Clear sky,6.47,⚠ Moderate,2025-08-23 18:52:17
Borgemoor,Germany,53.0167,7.5,18.36,Light rain,5.53,⚠ Moderate,2025-08-23 18:52:19
Borgstedt,Germany,54.3333,9.7167,18.54,Clear sky,5.02,⚠ Moderate,2025-08-23 18:52:21
Borkum,Germany,53.5833,6.6667,16.54,Overcast clouds,8.22,⚠ Moderate,2025-08-23 18:52:23
Borschutz,Germany,51.4072674,13.2186617,16.49,Light rain,6.98,⚠ Moderate,2025-08-23 18:52:24
Bortfeld,Germany,52.3,10.4,17.65,Broken clouds,7.64,⚠ Moderate,2025-08-23 18:52:26
Boxberg,Germany,49.4833,9.6333,18.82,Scattered clouds,5.83,⚠ Moderate,2025-08-23 18:52:27
Brachwitz,Germany,51.5333,11.8667,17.39,Overcast clouds,7.32,⚠ Moderate,2025-08-23 18:52:29
Brahlstorf,Germany,53.7,11.55,17.45,Clear sky,8.72,⚠ Moderate,2025-08-23 18:52:30
Brake,Germany,53.3333,8.4833,18.25,Clear sky,6.49,⚠ Moderate,2025-08-23 18:52:32
Bramel,Germany,53.55,8.7,18.25,Clear sky,6.92,⚠ Moderate,2025-08-23 18:52:34
Brandenburg,Germany,52.4167,12.55,16.76,Overcast clouds,4.86,✅ Safe,2025-08-23 18:52:36
Braunschweig,Germany,52.2667,10.5,17.59,Broken clouds,7.62,⚠ Moderate,2025-08-23 18:52:37
Bremervorde,Germany,53.4833,9.1333,18.18,Clear sky,7.56,⚠ Moderate,2025-08-23 18:52:39
Brink,Germany,52.4333,9.7333,17.79,Light rain,5.76,⚠ Moderate,2025-08-23 18:52:40
Britz,Germany,52.45,13.4333,15.98,Overcast clouds,5.82,⚠ Moderate,2025-08-23 18:52:42
Brodenbach,Germany,50.2167,7.45,18.21,Broken clouds,3.19,✅ Safe,2025-08-23 18:52:44
Bubsheim,Germany,48.1167,8.8167,16.43,Overcast clouds,3.47,✅ Safe,2025-08-23 18:52:46
Budelsdorf,Germany,54.3,9.65,18.54,Clear sky,5.04,⚠ Moderate,2025-08-23 18:52:47
Buhl,Germany,48.6833,8.1333,21.16,Overcast clouds,1.88,✅ Safe,2025-08-23 18:52:49
Bullenhausen,Germany,53.45,10.0833,18.15,Few clouds,5.67,⚠ Moderate,2025-08-23 18:52:50
Burglengenfeld,Germany,49.2,12.0333,17.95,Overcast clouds,5.07,⚠ Moderate,2025-08-23 18:52:52
Burgstadt,Germany,50.9167,12.8167,15.83,Scattered clouds,7.05,⚠ Moderate,2025-08-23 18:52:53
Burladingen,Germany,48.2833,9.1167,17.36,Overcast clouds,3.05,✅ Safe,2025-08-23 18:52:55
Butjadingen,Germany,53.5833,8.3667,18.23,Clear sky,8.43,⚠ Moderate,2025-08-23 18:52:57
Butzfleth,Germany,53.6667,9.4833,18.31,Clear sky,6.29,⚠ Moderate,2025-08-23 18:52:59
Buxtehude,Germany,53.45,9.7,18.14,Few clouds,5.63,⚠ Moderate,2025-08-23 18:53:00
Carolinensiel,Germany,53.7,7.8,18.26,Clear sky,8.44,⚠ Moderate,2025-08-23 18:53:02
Castrop-Rauxel,Germany,51.55,7.3,18.49,Scattered clouds,3.31,✅ Safe,2025-08-23 18:53:03
Copitz,Germany,50.9667,13.9333,16.45,Heavy intensity rain,4.3,✅ Safe,2025-08-23 18:53:05
Crossen an der Elster,Germany,50.9667,11.9667,16.5,Broken clouds,7.17,⚠ Moderate,2025-08-23 18:53:06
Cumlosen,Germany,53.0167,11.65,17.47,Light rain,6.72,⚠ Moderate,2025-08-23 18:53:08
Cuxhaven,Germany,53.8833,8.7,18.31,Clear sky,7.73,⚠ Moderate,2025-08-23 18:53:09
Dangast,Germany,53.45,8.1167,17.29,Scattered clouds,7.47,⚠ Moderate,2025-08-23 18:53:10
Dannenwalde,Germany,53.0833,13.1833,15.81,Broken clouds,7.31,⚠ Moderate,2025-08-23 18:53:12
Dassow,Germany,53.9167,10.9833,17.86,Clear sky,7.97,⚠ Moderate,2025-08-23 18:53:13
Deggenau,Germany,48.8167,12.9833,18.15,Scattered clouds,5.84,⚠ Moderate,2025-08-23 18:53:15
Demmin,Germany,53.9,13.0333,16.15,Overcast clouds,7.98,⚠ Moderate,2025-08-23 18:53:17
Derenburg,Germany,51.8667,10.9167,16.77,Moderate rain,5.56,⚠ Moderate,2025-08-23 18:53:19
Dernau,Germany,50.5333,7.0333,17.21,Overcast clouds,3.28,✅ Safe,2025-08-23 18:53:20
Derschen,Germany,50.7167,7.9833,15.76,Overcast clouds,3.81,✅ Safe,2025-08-23 18:53:22
Dersum,Germany,52.9667,7.2833,18.48,Overcast clouds,5.81,⚠ Moderate,2025-08-23 18:53:23
Deuben,Germany,51.1167,12.0667,16.69,Moderate rain,7.4,⚠ Moderate,2025-08-23 18:53:25
Dierhagen,Germany,54.3,12.3667,16.5,Scattered clouds,9.34,⚠ Moderate,2025-08-23 18:53:26
Diersheim,Germany,48.65,7.8833,21.15,Overcast clouds,2.14,✅ Safe,2025-08-23 18:53:28
Dinkelscherben,Germany,48.35,10.5833,18.72,Broken clouds,4.42,✅ Safe,2025-08-23 18:53:29
Dittersdorf,Germany,50.75,12.1167,16.16,Scattered clouds,6.76,⚠ Moderate,2025-08-23 18:53:31
Ditzum,Germany,53.3167,7.2833,18.39,Overcast clouds,6.13,⚠ Moderate,2025-08-23 18:53:33
Dolzig,Germany,51.35,12.2167,17.16,Light rain,7.23,⚠ Moderate,2025-08-23 18:53:35
Dombuhl,Germany,49.25,10.2833,17.55,Broken clouds,5.53,⚠ Moderate,2025-08-23 18:53:38
Dorenthe,Germany,52.2167,7.6833,18.24,Overcast clouds,6.43,⚠ Moderate,2025-08-23 18:53:39
Dormagen,Germany,51.0833,6.8167,18.85,Overcast clouds,3.73,✅ Safe,2025-08-23 18:53:41
Dornach,Germany,48.15,11.6833,17.83,Overcast clouds,4.16,✅ Safe,2025-08-23 18:53:43
Dorpen,Germany,52.95,7.3167,18.47,Overcast clouds,5.73,⚠ Moderate,2025-08-23 18:53:45
Dorsten,Germany,51.6667,6.9667,18.77,Scattered clouds,3.72,✅ Safe,2025-08-23 18:53:47
Dortmund,Germany,51.5,7.4833,18.1,Clear sky,2.91,✅ Safe,2025-08-23 18:53:49
