Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Achladi,Greece,38.8833,22.8167,29.17,Few clouds,3.27,✅ Safe,2025-08-23 21:19:24
Agathonisi,Greece,37.45,26.9667,29.38,Clear sky,9.38,⚠ Moderate,2025-08-23 21:19:26
Agia Efimia,Greece,38.3,20.6,23.4,Clear sky,5.38,⚠ Moderate,2025-08-23 21:19:28
Agia Galini,Greece,35.0833,24.6833,28.79,Clear sky,6.06,⚠ Moderate,2025-08-23 21:19:30
Agia Marina Fthiotidas,Greece,38.9,22.5833,29.61,Scattered clouds,2.49,✅ Safe,2025-08-23 21:19:31
Agia Marina Grammatikou Attikis,Greece,38.1833,24.0667,31.0,Clear sky,3.99,✅ Safe,2025-08-23 21:19:33
Agia Pelagia,Greece,36.3333,22.9833,27.71,Clear sky,11.58,⚡ Dangerous,2025-08-23 21:19:35
Agio Theodoroi,Greece,37.9167,23.1167,30.49,Clear sky,2.97,✅ Safe,2025-08-23 21:19:36
Agiokampos Larissas,Greece,39.6833,22.8833,28.94,Scattered clouds,1.78,✅ Safe,2025-08-23 21:19:38
Agiokampos Oreon,Greece,38.9333,23.0333,27.85,Clear sky,3.09,✅ Safe,2025-08-23 21:19:40
Agios Efstratios,Greece,39.5333,24.9833,25.49,Clear sky,4.27,✅ Safe,2025-08-23 21:19:41
Agios Georgios,Greece,38.8333,22.8833,29.03,Clear sky,2.56,✅ Safe,2025-08-23 21:19:43
Agios Kirykos,Greece,37.6167,26.3,26.55,Clear sky,4.98,✅ Safe,2025-08-23 21:19:44
Agios Konstantinos,Greece,38.75,22.8667,25.34,Few clouds,3.12,✅ Safe,2025-08-23 21:19:46
"Agios Nikolaos, Kriti",Greece,35.1833,25.7167,29.56,Clear sky,5.05,⚠ Moderate,2025-08-23 21:19:48
Agios Stefanos Corfu,Greece,39.7667,19.95,26.57,Clear sky,5.27,⚠ Moderate,2025-08-23 21:19:49
Agistri Aiginas,Greece,37.7167,23.35,28.38,Clear sky,4.67,✅ Safe,2025-08-23 21:19:51
Agnontas Skopelos,Greece,39.0833,23.7,27.67,Clear sky,2.42,✅ Safe,2025-08-23 21:19:52
Agria,Greece,39.3333,23.0,28.04,Clear sky,3.51,✅ Safe,2025-08-23 21:19:54
Aigiali Amorgou,Greece,36.9,25.9667,28.31,Clear sky,5.27,⚠ Moderate,2025-08-23 21:19:56
Aigion,Greece,38.25,22.0833,29.44,Clear sky,6.19,⚠ Moderate,2025-08-23 21:19:58
Aktio Vonitsas,Greece,38.95,20.75,27.71,Clear sky,5.47,⚠ Moderate,2025-08-23 21:20:00
Alexandroupolis,Greece,40.85,25.8667,27.55,Scattered clouds,3.39,✅ Safe,2025-08-23 21:20:01
Alimos,Greece,37.9167,23.7167,31.0,Clear sky,4.23,✅ Safe,2025-08-23 21:20:03
Aliverio,Greece,38.4,24.05,30.94,Clear sky,4.08,✅ Safe,2025-08-23 21:20:05
Alonnisos,Greece,39.15,23.8667,26.19,Clear sky,2.0,✅ Safe,2025-08-23 21:20:06
Altsi,Greece,35.1667,25.8833,30.03,Clear sky,4.36,✅ Safe,2025-08-23 21:20:08
Amaliapolis,Greece,39.1667,22.8833,28.83,Clear sky,3.83,✅ Safe,2025-08-23 21:20:09
Amfilochia,Greece,38.8667,21.1667,26.66,Clear sky,2.97,✅ Safe,2025-08-23 21:20:10
Amoliani,Greece,40.3333,23.9167,27.81,Clear sky,2.73,✅ Safe,2025-08-23 21:20:12
Anafi,Greece,36.35,25.7667,28.62,Clear sky,4.27,✅ Safe,2025-08-23 21:20:14
Andirrion,Greece,38.3333,21.7667,28.62,Clear sky,5.62,⚠ Moderate,2025-08-23 21:20:15
Andros,Greece,37.8333,24.9333,30.37,Clear sky,2.3,✅ Safe,2025-08-23 21:20:17
Antikyra,Greece,38.3833,22.6333,27.33,Clear sky,8.26,⚠ Moderate,2025-08-23 21:20:18
Antiparos,Greece,37.0333,25.0833,29.84,Clear sky,0.81,✅ Safe,2025-08-23 21:20:20
Argostolion,Greece,38.1833,20.4833,,No Data,,❓ Unknown,2025-08-23 21:22:15
Arkioi Dodekanissou,Greece,37.3833,26.7333,29.72,Clear sky,9.11,⚠ Moderate,2025-08-23 21:22:16
Arkitsa,Greece,38.75,23.0333,29.65,Clear sky,2.65,✅ Safe,2025-08-23 21:22:18
Artemis,Greece,37.9667,24.0,31.11,Clear sky,1.76,✅ Safe,2025-08-23 21:22:19
Aspropirgos,Greece,38.0667,23.5833,31.04,Clear sky,4.22,✅ Safe,2025-08-23 21:22:21
Asprovalta,Greece,40.7167,23.7,26.86,Scattered clouds,0.84,✅ Safe,2025-08-23 21:22:22
Assos,Greece,38.3833,20.5333,25.86,Clear sky,5.09,⚠ Moderate,2025-08-23 21:22:23
Astakos,Greece,38.5333,21.0833,26.48,Clear sky,6.18,⚠ Moderate,2025-08-23 21:22:25
Astros,Greece,37.4,22.7167,30.56,Clear sky,1.11,✅ Safe,2025-08-23 21:22:26
Astypalaia,Greece,36.55,26.35,26.65,Clear sky,6.23,⚠ Moderate,2025-08-23 21:22:27
