Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Kangerlussuaq Havn,Greenland,66.9667,-50.9333,7.81,Overcast clouds,2.46,✅ Safe,2025-08-23 17:33:12
Kuummiut,Greenland,65.8667,-37.0167,6.14,Light rain,2.27,✅ Safe,2025-08-23 17:33:14
Nuuk (Godthaab),Greenland,64.1833,-51.75,7.86,Few clouds,4.02,✅ Safe,2025-08-23 17:33:16
Seqi Olivine Mine,Greenland,64.9667,-51.5667,12.54,Clear sky,8.13,⚠ Moderate,2025-08-23 17:33:18
Tasiilaq,Greenland,65.6,-37.6333,4.34,Light rain,2.5,✅ Safe,2025-08-23 17:33:19
Tiniteqilaaq,Greenland,65.9,-37.8167,6.89,Overcast clouds,1.79,✅ Safe,2025-08-23 17:33:21
Toqqusaq,Greenland,64.8667,-52.2,8.74,Clear sky,4.11,✅ Safe,2025-08-23 17:33:23
Ilulissat (Jakobshavn),Greenland,69.2198118,-51.0986031,2.49,Scattered clouds,1.35,✅ Safe,2025-08-23 17:33:25
Aasiaat (Egedesminde),Greenland,68.7069766,-52.8591222,1.78,Broken clouds,3.14,✅ Safe,2025-08-23 17:33:26
Paamiut (Fredrikshaab),Greenland,61.9941151,-49.6665709,4.5,Overcast clouds,1.37,✅ Safe,2025-08-23 17:33:28
Sisimiut (Holsteinsborg),Greenland,66.9394722,-53.6733857,5.87,Few clouds,5.84,⚠ Moderate,2025-08-23 17:33:29
Qaqortoq (Julianehaab),Greenland,60.7189864,-46.0353458,7.05,Overcast clouds,1.51,✅ Safe,2025-08-23 17:33:31
Nanortalik,Greenland,60.1424955,-45.2394951,6.82,Overcast clouds,1.02,✅ Safe,2025-08-23 17:33:32
Maniitsoq (Sukkertoppen),Greenland,65.4076761,-52.9005718,7.61,Clear sky,4.24,✅ Safe,2025-08-23 17:33:34
Kullorsuaq,Greenland,74.583,-57.2,-2.49,Scattered clouds,2.67,✅ Safe,2025-08-23 17:33:36
