Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Baie-Mahault,Guadeloupe,16.2667,-61.5833,29.37,Broken clouds,3.68,✅ Safe,2025-08-23 17:33:37
Basse-Terre,Guadeloupe,16.0,-61.7167,28.12,Overcast clouds,4.87,✅ Safe,2025-08-23 17:33:39
Capesterre-Belle-Eau,Guadeloupe,16.05,-61.55,29.01,Broken clouds,3.76,✅ Safe,2025-08-23 17:33:41
Folle-Anse,Guadeloupe,15.95,-61.3333,28.89,Overcast clouds,4.91,✅ Safe,2025-08-23 17:33:42
Grand-Bourg,Guadeloupe,15.8833,-61.3,28.62,Overcast clouds,5.53,⚠ Moderate,2025-08-23 17:33:44
Jarry,Guadeloupe,16.2333,-61.55,29.46,Broken clouds,3.96,✅ Safe,2025-08-23 17:33:46
Le Gosier,Guadeloupe,16.2,-61.4833,29.36,Overcast clouds,4.11,✅ Safe,2025-08-23 17:33:47
Pointe-a-Pitre Apt,Guadeloupe,16.2667,-61.5167,29.44,Broken clouds,4.25,✅ Safe,2025-08-23 17:33:49
Port-Louis,Guadeloupe,16.4167,-61.5333,29.11,Light rain,4.84,✅ Safe,2025-08-23 17:33:51
Saint-Francois,Guadeloupe,16.25,-61.2667,28.79,Overcast clouds,5.22,⚠ Moderate,2025-08-23 17:33:52
Baillif,Guadeloupe,16.033,-61.733,27.46,Overcast clouds,4.67,✅ Safe,2025-08-23 17:33:54
Bouillante,Guadeloupe,16.133,-61.767,27.73,Overcast clouds,3.28,✅ Safe,2025-08-23 17:33:56
Deshaies,Guadeloupe,16.3,-61.783,28.14,Broken clouds,1.81,✅ Safe,2025-08-23 17:33:57
Anse-Bertrand,Guadeloupe,16.467,-61.517,29.02,Light rain,4.93,✅ Safe,2025-08-23 17:33:58
Gustavia,Guadeloupe,17.896413,-62.852191,28.43,Overcast clouds,3.58,✅ Safe,2025-08-23 17:34:00
Petit-Bourg,Guadeloupe,16.183,-61.583,29.19,Broken clouds,3.5,✅ Safe,2025-08-23 17:34:02
Saint Barthelemy,Guadeloupe,16.2544056,-61.5323532,29.44,Broken clouds,4.25,✅ Safe,2025-08-23 17:34:04
