Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Adony,Hungary,47.1167,18.8667,20.79,Overcast clouds,6.0,⚠ Moderate,2025-08-23 21:35:49
Almasfuzito,Hungary,47.7,18.2667,19.53,Overcast clouds,5.44,⚠ Moderate,2025-08-23 21:35:50
Alsoors,Hungary,46.9833,17.9833,20.51,Overcast clouds,6.31,⚠ Moderate,2025-08-23 21:35:52
Alsozsolca,Hungary,48.0667,20.8833,20.03,Overcast clouds,4.8,✅ Safe,2025-08-23 21:35:54
Andornaktalya,Hungary,47.8333,20.4167,19.95,Overcast clouds,5.33,⚠ Moderate,2025-08-23 21:35:56
Badacsonyors,Hungary,46.8,17.5333,20.13,Light rain,2.18,✅ Safe,2025-08-23 21:35:57
Balatonszarszo,Hungary,46.8333,17.8333,20.43,Light rain,3.95,✅ Safe,2025-08-23 21:35:59
Berhida,Hungary,48.1667,18.1333,18.81,Broken clouds,6.49,⚠ Moderate,2025-08-23 21:36:01
Berzence,Hungary,46.2,17.15,21.6,Overcast clouds,3.61,✅ Safe,2025-08-23 21:36:03
Budapest,Hungary,47.5,19.0833,20.36,Overcast clouds,5.53,⚠ Moderate,2025-08-23 21:36:05
Csepel,Hungary,47.4167,19.0667,20.54,Overcast clouds,5.82,⚠ Moderate,2025-08-23 21:36:06
Csomor,Hungary,47.55,19.2333,20.03,Overcast clouds,5.46,⚠ Moderate,2025-08-23 21:36:08
Dunapataj,Hungary,46.6167,18.9833,21.58,Broken clouds,6.77,⚠ Moderate,2025-08-23 21:36:10
Dunaremete,Hungary,47.8833,17.4333,19.21,Overcast clouds,5.37,⚠ Moderate,2025-08-23 21:36:12
Dunaujvaros,Hungary,46.9667,18.9333,20.74,Overcast clouds,5.67,⚠ Moderate,2025-08-23 21:36:13
Dunavecse,Hungary,46.9167,18.9667,20.79,Overcast clouds,5.64,⚠ Moderate,2025-08-23 21:36:15
Erdobenye,Hungary,48.2667,21.3667,19.02,Overcast clouds,1.34,✅ Safe,2025-08-23 21:36:17
God,Hungary,47.7,19.1333,20.12,Overcast clouds,5.88,⚠ Moderate,2025-08-23 21:36:19
Gonyu,Hungary,47.7333,17.8333,19.42,Overcast clouds,5.72,⚠ Moderate,2025-08-23 21:36:21
Gyor,Hungary,47.6833,17.6333,19.45,Overcast clouds,6.35,⚠ Moderate,2025-08-23 21:36:24
Halasztelek,Hungary,47.3667,18.9833,20.58,Overcast clouds,6.2,⚠ Moderate,2025-08-23 21:36:26
Harta,Hungary,46.6833,19.0167,21.54,Broken clouds,6.62,⚠ Moderate,2025-08-23 21:36:27
Hegyfalu,Hungary,47.35,16.8833,19.61,Overcast clouds,6.68,⚠ Moderate,2025-08-23 21:36:29
Jaszarokszallas,Hungary,47.6333,19.9667,20.4,Overcast clouds,6.3,⚠ Moderate,2025-08-23 21:36:30
Kalocsa,Hungary,46.5167,19.0,21.69,Broken clouds,6.98,⚠ Moderate,2025-08-23 21:36:32
Karcag,Hungary,47.3,20.9167,21.38,Scattered clouds,6.44,⚠ Moderate,2025-08-23 21:36:33
Kekkut,Hungary,46.85,17.5667,20.08,Light rain,2.6,✅ Safe,2025-08-23 21:36:35
Kisvarda,Hungary,48.2167,22.0667,19.39,Overcast clouds,0.58,✅ Safe,2025-08-23 21:36:37
Komarom,Hungary,47.7333,18.1167,19.46,Overcast clouds,5.22,⚠ Moderate,2025-08-23 21:36:38
Kormend,Hungary,47.0167,16.6,19.78,Overcast clouds,1.99,✅ Safe,2025-08-23 21:36:40
Labatlan,Hungary,47.75,18.5167,19.65,Overcast clouds,4.94,✅ Safe,2025-08-23 21:36:42
Lagymanyos,Hungary,47.4667,19.05,20.45,Overcast clouds,5.61,⚠ Moderate,2025-08-23 21:36:43
Martely,Hungary,46.4833,20.2167,23.01,Few clouds,6.75,⚠ Moderate,2025-08-23 21:36:45
Mecseknadasd,Hungary,46.2167,18.4667,20.62,Overcast clouds,4.04,✅ Safe,2025-08-23 21:36:47
Mohacs,Hungary,46.0,18.6833,22.33,Overcast clouds,4.1,✅ Safe,2025-08-23 21:36:49
Nagyrada,Hungary,46.6167,17.1167,19.75,Light rain,4.53,✅ Safe,2025-08-23 21:36:50
Neszmely,Hungary,47.7167,18.35,19.57,Overcast clouds,5.35,⚠ Moderate,2025-08-23 21:36:52
Palmonostora,Hungary,46.6333,19.9333,22.52,Few clouds,7.91,⚠ Moderate,2025-08-23 21:36:54
Sarospatak,Hungary,48.3167,21.5667,19.33,Overcast clouds,0.85,✅ Safe,2025-08-23 21:36:55
Szentendre,Hungary,47.7,19.05,17.79,Overcast clouds,5.42,⚠ Moderate,2025-08-23 21:36:57
Szigetcsep,Hungary,47.2667,18.9833,20.7,Overcast clouds,6.42,⚠ Moderate,2025-08-23 21:36:59
Szigetszentmiklos,Hungary,47.35,19.05,20.67,Overcast clouds,6.17,⚠ Moderate,2025-08-23 21:37:00
Tac,Hungary,47.0833,18.4,20.57,Overcast clouds,6.88,⚠ Moderate,2025-08-23 21:37:02
Tahitotfalu,Hungary,47.75,19.1,20.01,Overcast clouds,5.95,⚠ Moderate,2025-08-23 21:37:04
Tokaj,Hungary,48.1167,21.4167,19.28,Overcast clouds,3.05,✅ Safe,2025-08-23 21:37:05
Ujpest,Hungary,47.5667,19.0833,20.34,Overcast clouds,5.36,⚠ Moderate,2025-08-23 21:37:07
Visegrad,Hungary,47.8,18.9667,18.58,Broken clouds,5.34,⚠ Moderate,2025-08-23 21:37:08
Zlate Klasy,Hungary,48.1167,17.4167,19.0,Overcast clouds,4.04,✅ Safe,2025-08-23 21:37:10
Zsira,Hungary,47.4333,16.6667,19.17,Overcast clouds,5.44,⚠ Moderate,2025-08-23 21:37:12
Dorog,Hungary,47.71667,18.73333,19.73,Broken clouds,4.86,✅ Safe,2025-08-23 21:37:13
Ebes,Hungary,47.467,21.5,21.12,Scattered clouds,3.4,✅ Safe,2025-08-23 21:37:15
Ferencvaros,Hungary,47.467,19.083,20.45,Overcast clouds,5.61,⚠ Moderate,2025-08-23 21:37:17
Nagybajom,Hungary,46.3957444,17.5092762,20.88,Broken clouds,5.42,⚠ Moderate,2025-08-23 21:37:18
