Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Alleppey,India,9.4833,76.3167,26.83,Light rain,5.08,⚠ Moderate,2025-08-23 16:36:51
Attur,India,12.7333,79.95,33.1,Overcast clouds,3.24,✅ Safe,2025-08-23 16:36:53
Bangarapet,India,12.9833,78.1833,28.34,Overcast clouds,3.16,✅ Safe,2025-08-23 16:36:54
Bhadohi,India,25.4167,82.5667,31.22,Broken clouds,3.42,✅ Safe,2025-08-23 16:36:56
Bharuch,India,21.7,72.9667,26.65,Overcast clouds,9.39,⚠ Moderate,2025-08-23 16:36:57
Bhavnagar,India,21.7667,72.1333,29.48,Overcast clouds,10.33,⚡ Dangerous,2025-08-23 16:36:58
Chennai (ex Madras),India,13.0833,80.2833,31.46,Overcast clouds,6.66,⚠ Moderate,2025-08-23 16:37:00
Cochin,India,9.9667,76.2333,26.68,Overcast clouds,5.43,⚠ Moderate,2025-08-23 16:37:01
Dhamara,India,20.8,86.9,27.01,Overcast clouds,4.81,✅ Safe,2025-08-23 16:37:03
Dhamra Port,India,20.8167,86.95,27.21,Overcast clouds,5.3,⚠ Moderate,2025-08-23 16:37:04
Dighi (Pune),India,18.25,72.9667,26.1,Overcast clouds,6.57,⚠ Moderate,2025-08-23 16:37:05
Ernakulam,India,9.9833,76.2833,27.86,Overcast clouds,4.53,✅ Safe,2025-08-23 16:37:07
Erode,India,11.35,77.7333,32.52,Overcast clouds,0.97,✅ Safe,2025-08-23 16:37:08
Gangavaram,India,17.65,83.25,31.85,Overcast clouds,5.81,⚠ Moderate,2025-08-23 16:37:09
Garden Reach,India,22.5167,88.3,26.63,Light rain,3.88,✅ Safe,2025-08-23 16:37:11
Hazira Port/Surat,India,21.0833,72.6167,27.32,Overcast clouds,12.16,⚡ Dangerous,2025-08-23 16:37:12
Jafarabad,India,20.85,71.3667,27.25,Overcast clouds,10.93,⚡ Dangerous,2025-08-23 16:37:13
Jammu,India,32.7,74.85,32.86,Few clouds,2.06,✅ Safe,2025-08-23 16:37:15
Jodhpur,India,21.8833,70.0333,26.96,Overcast clouds,9.53,⚠ Moderate,2025-08-23 16:37:16
Kandla,India,23.0333,70.2167,30.56,Overcast clouds,10.29,⚡ Dangerous,2025-08-23 16:37:17
Karur,India,10.95,78.0833,32.79,Overcast clouds,2.86,✅ Safe,2025-08-23 16:37:19
Kattupalli,India,13.3,80.35,30.45,Overcast clouds,7.93,⚠ Moderate,2025-08-23 16:37:20
Kattupalli Port,India,13.3,80.3833,29.03,Overcast clouds,7.91,⚠ Moderate,2025-08-23 16:37:21
Khodiyar,India,23.05,72.9333,28.29,Overcast clouds,5.11,⚠ Moderate,2025-08-23 16:37:23
Kolkata (ex Calcutta),India,22.5667,88.35,26.46,Light rain,3.64,✅ Safe,2025-08-23 16:37:24
Kozhikode (ex Calicut),India,11.25,75.7667,26.93,Overcast clouds,5.32,⚠ Moderate,2025-08-23 16:37:25
Lapanga,India,21.7333,84.0167,23.3,Overcast clouds,4.52,✅ Safe,2025-08-23 16:37:27
Madurai,India,9.9333,78.1167,32.39,Overcast clouds,2.35,✅ Safe,2025-08-23 16:37:28
Mahe,India,11.7,75.5333,27.0,Overcast clouds,5.23,⚠ Moderate,2025-08-23 16:37:29
Mandvi,India,22.8333,69.3667,28.4,Overcast clouds,9.17,⚠ Moderate,2025-08-23 16:37:31
Marmagao (Marmugao),India,15.4,73.7833,26.43,Overcast clouds,5.44,⚠ Moderate,2025-08-23 16:37:32
Morbi,India,22.8167,70.8333,29.47,Overcast clouds,8.81,⚠ Moderate,2025-08-23 16:37:33
Mul Dwarka,India,20.75,70.6667,26.95,Broken clouds,10.35,⚡ Dangerous,2025-08-23 16:37:35
Mumbai (ex Bombay),India,18.9667,72.8167,26.96,Overcast clouds,9.18,⚠ Moderate,2025-08-23 16:37:36
Munger,India,25.3833,86.4667,29.94,Overcast clouds,6.75,⚠ Moderate,2025-08-23 16:37:37
Nagappattinam,India,10.7833,79.8167,31.58,Overcast clouds,3.54,✅ Safe,2025-08-23 16:37:39
Nagercoil,India,8.1667,77.4333,29.26,Scattered clouds,9.27,⚠ Moderate,2025-08-23 16:37:40
New Delhi,India,28.6,77.2,28.67,Overcast clouds,3.51,✅ Safe,2025-08-23 16:37:42
New Tuticorin,India,8.75,78.2167,29.23,Overcast clouds,5.01,⚠ Moderate,2025-08-23 16:37:44
Nhave,India,18.95,72.9667,26.95,Broken clouds,8.48,⚠ Moderate,2025-08-23 16:37:45
Nindakara,India,8.9333,76.5333,26.46,Moderate rain,6.07,⚠ Moderate,2025-08-23 16:37:47
Orissa,India,20.2333,84.2667,22.59,Overcast clouds,4.66,✅ Safe,2025-08-23 16:37:48
Paradip Garh,India,20.3167,86.6167,27.77,Overcast clouds,3.74,✅ Safe,2025-08-23 16:37:49
Pipavav (Victor) Port,India,20.9667,71.55,27.88,Overcast clouds,10.09,⚡ Dangerous,2025-08-23 16:37:51
Pondicherry,India,11.9167,79.8167,29.99,Overcast clouds,3.75,✅ Safe,2025-08-23 16:37:52
Port Pipavav,India,20.9333,71.5167,27.79,Overcast clouds,10.34,⚡ Dangerous,2025-08-23 16:37:53
Positra,India,22.4,69.1667,28.01,Broken clouds,9.86,⚠ Moderate,2025-08-23 16:37:55
Pratapganj,India,26.3,86.9667,31.7,Broken clouds,8.01,⚠ Moderate,2025-08-23 16:37:56
Rozi,India,22.5667,70.0333,28.92,Overcast clouds,10.01,⚡ Dangerous,2025-08-23 16:37:57
Samalkot,India,17.05,82.1833,32.73,Overcast clouds,5.17,⚠ Moderate,2025-08-23 16:37:59
Sika,India,22.4333,69.8333,29.12,Overcast clouds,10.15,⚡ Dangerous,2025-08-23 16:38:00
Sikkim,India,27.3516407,88.3239309,18.68,Overcast clouds,0.89,✅ Safe,2025-08-23 16:38:01
Siliguri,India,26.7167,88.4167,29.3,Overcast clouds,3.28,✅ Safe,2025-08-23 16:38:03
Surat,India,21.1667,72.8333,26.72,Overcast clouds,9.11,⚠ Moderate,2025-08-23 16:38:04
Tadri,India,14.5167,74.35,27.68,Overcast clouds,3.32,✅ Safe,2025-08-23 16:38:05
