Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Anggrek,Indonesia,0.85,122.7833,24.0,Overcast clouds,3.33,✅ Safe,2025-08-23 16:31:20
Anoa Natuna Pt.,Indonesia,5.2333,105.6,28.9,Scattered clouds,1.47,✅ Safe,2025-08-23 16:31:22
Anyer Kidul,Indonesia,-6.0667,105.8833,27.28,Few clouds,4.56,✅ Safe,2025-08-23 16:31:24
Balikpapan,Indonesia,-1.2833,116.8333,26.54,Overcast clouds,3.26,✅ Safe,2025-08-23 16:31:25
Balohan,Indonesia,5.8167,95.3333,26.78,Broken clouds,10.04,⚡ Dangerous,2025-08-23 16:31:27
Batam Island,Indonesia,1.0833,104.0333,29.28,Scattered clouds,2.3,✅ Safe,2025-08-23 16:31:29
Batu Ampar,Indonesia,1.1667,104.0167,28.23,Scattered clouds,2.51,✅ Safe,2025-08-23 16:31:31
Batuampar,Indonesia,-0.9667,102.7333,26.07,Broken clouds,0.94,✅ Safe,2025-08-23 16:31:32
Batulicin,Indonesia,-3.45,115.9833,24.84,Overcast clouds,1.83,✅ Safe,2025-08-23 16:31:34
Belitung,Indonesia,-2.8333,107.9167,24.18,Overcast clouds,0.61,✅ Safe,2025-08-23 16:31:35
Benete,Indonesia,-8.8667,116.7167,26.04,Scattered clouds,0.83,✅ Safe,2025-08-23 16:31:37
Benoa,Indonesia,-8.7667,115.2167,27.47,Overcast clouds,4.81,✅ Safe,2025-08-23 16:31:39
Bunyu,Indonesia,3.5,117.8,27.51,Broken clouds,4.93,✅ Safe,2025-08-23 16:31:40
Cikande,Indonesia,-6.2,106.35,31.38,Scattered clouds,1.45,✅ Safe,2025-08-23 16:31:42
Cilacap (Tjilatjap),Indonesia,-7.7333,109.0,28.94,Light rain,3.22,✅ Safe,2025-08-23 16:31:43
Cirebon (Tjeribon),Indonesia,-6.7333,108.5667,30.37,Broken clouds,1.83,✅ Safe,2025-08-23 16:31:45
Ciwandan,Indonesia,-6.0167,105.95,27.02,Few clouds,4.46,✅ Safe,2025-08-23 16:31:47
"Dabo, Singkep Isl",Indonesia,-0.5,104.55,26.96,Broken clouds,1.0,✅ Safe,2025-08-23 16:31:49
Demta,Indonesia,-2.3333,140.1333,26.71,Overcast clouds,3.21,✅ Safe,2025-08-23 16:31:50
Dobo,Indonesia,-5.75,134.2167,24.85,Overcast clouds,5.04,⚠ Moderate,2025-08-23 16:31:52
Donggi,Indonesia,-1.5333,122.25,23.79,Overcast clouds,0.83,✅ Safe,2025-08-23 16:31:54
Durian,Indonesia,1.0167,103.5667,28.57,Scattered clouds,1.59,✅ Safe,2025-08-23 16:31:56
Gatot Subroto Permai,Indonesia,-8.6333,115.2,25.21,Overcast clouds,2.79,✅ Safe,2025-08-23 16:31:58
"Gresik, Java",Indonesia,-7.15,112.65,28.46,Broken clouds,2.44,✅ Safe,2025-08-23 16:31:59
Inanwatan,Indonesia,-2.1333,132.1667,24.79,Overcast clouds,1.89,✅ Safe,2025-08-23 16:32:01
Jakarta Pusat,Indonesia,-6.1833,106.8333,31.97,Broken clouds,2.7,✅ Safe,2025-08-23 16:32:03
"Jakarta, Java",Indonesia,-6.1333,106.8333,28.63,Broken clouds,2.95,✅ Safe,2025-08-23 16:32:04
Jawa Timur,Indonesia,-7.7333,112.5,22.84,Overcast clouds,1.63,✅ Safe,2025-08-23 16:32:06
"Jayapura, Irian Jaya",Indonesia,-2.5333,140.7,22.57,Overcast clouds,2.13,✅ Safe,2025-08-23 16:32:08
Jepara,Indonesia,-6.5833,110.65,27.74,Overcast clouds,5.03,⚠ Moderate,2025-08-23 16:32:10
Jogja Inland Port,Indonesia,-7.9,110.3833,29.31,Broken clouds,2.7,✅ Safe,2025-08-23 16:32:11
Kalabahi,Indonesia,-8.2167,124.5167,22.16,Broken clouds,1.4,✅ Safe,2025-08-23 16:32:13
Kalbut Situbondo,Indonesia,-7.6167,113.8833,26.7,Broken clouds,3.38,✅ Safe,2025-08-23 16:32:14
Kassue,Indonesia,-0.789275,113.921327,26.51,Broken clouds,0.84,✅ Safe,2025-08-23 16:32:16
Kau,Indonesia,1.1833,127.9,24.15,Overcast clouds,1.08,✅ Safe,2025-08-23 16:32:18
Kendawangan,Indonesia,-2.5333,110.2,27.15,Broken clouds,4.48,✅ Safe,2025-08-23 16:32:19
Koja,Indonesia,-6.3,106.3833,31.57,Broken clouds,1.88,✅ Safe,2025-08-23 16:32:21
Komodo,Indonesia,-8.5833,119.5,25.06,Scattered clouds,2.07,✅ Safe,2025-08-23 16:32:22
Kualalangsa,Indonesia,4.5333,98.0167,26.21,Scattered clouds,0.65,✅ Safe,2025-08-23 16:32:24
Kualatanjung,Indonesia,3.35,99.4833,28.01,Clear sky,1.98,✅ Safe,2025-08-23 16:32:26
Kumai,Indonesia,-2.7333,111.7167,26.5,Overcast clouds,1.92,✅ Safe,2025-08-23 16:32:27
Labuan Bajo,Indonesia,-8.5,119.8833,24.92,Broken clouds,1.35,✅ Safe,2025-08-23 16:32:29
"Labuha, Molucas",Indonesia,-0.6167,127.4833,22.16,Overcast clouds,0.77,✅ Safe,2025-08-23 16:32:31
Lembar,Indonesia,-8.7333,116.0667,26.48,Overcast clouds,0.23,✅ Safe,2025-08-23 16:32:33
Lobam,Indonesia,1.0,104.2667,29.59,Scattered clouds,3.85,✅ Safe,2025-08-23 16:32:34
Lubuk Tutung,Indonesia,0.7667,117.7333,23.28,Overcast clouds,1.84,✅ Safe,2025-08-23 16:32:36
Madura Terminal,Indonesia,-6.85,112.95,26.99,Overcast clouds,4.47,✅ Safe,2025-08-23 16:32:38
Makassar,Indonesia,-5.1167,119.4,26.88,Overcast clouds,1.99,✅ Safe,2025-08-23 16:32:40
Manggis,Indonesia,-8.4833,115.5167,19.51,Overcast clouds,1.08,✅ Safe,2025-08-23 16:32:41
Mangkajang,Indonesia,2.1333,117.7333,24.32,Overcast clouds,1.26,✅ Safe,2025-08-23 16:32:43
New Priok Port,Indonesia,-6.0833,106.9167,28.21,Scattered clouds,2.91,✅ Safe,2025-08-23 16:32:45
Nipah,Indonesia,1.1167,103.55,28.7,Scattered clouds,1.4,✅ Safe,2025-08-23 16:32:46
Padang,Indonesia,-0.95,100.35,26.96,Broken clouds,1.49,✅ Safe,2025-08-23 16:32:48
