Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Amir Abad Pt,"Iran, Islamic Republic of",36.0833,52.3667,27.6,Few clouds,4.25,✅ Safe,2025-08-23 16:39:17
Asaluyeh,"Iran, Islamic Republic of",27.4667,52.6,35.61,Clear sky,1.94,✅ Safe,2025-08-23 16:39:19
Bandar Abbas,"Iran, Islamic Republic of",27.1833,56.2667,36.04,Clear sky,6.34,⚠ Moderate,2025-08-23 16:39:20
Bandar Amirabad,"Iran, Islamic Republic of",36.7833,53.35,30.68,Clear sky,5.52,⚠ Moderate,2025-08-23 16:39:21
Bandar Khomeini,"Iran, Islamic Republic of",30.4333,49.1,43.49,Clear sky,3.42,✅ Safe,2025-08-23 16:39:23
Bandar Mashur,"Iran, Islamic Republic of",30.55,49.1833,44.46,Clear sky,3.72,✅ Safe,2025-08-23 16:39:24
Bandar Neka,"Iran, Islamic Republic of",36.8667,53.5333,28.73,Clear sky,5.36,⚠ Moderate,2025-08-23 16:39:26
Bandar-e Anzali,"Iran, Islamic Republic of",37.4667,49.4667,28.1,Clear sky,4.84,✅ Safe,2025-08-23 16:39:28
Bandar-e Emam Khomeyni,"Iran, Islamic Republic of",30.4333,49.1,43.49,Clear sky,3.42,✅ Safe,2025-08-23 16:39:30
Bandar-e Gaz,"Iran, Islamic Republic of",36.7833,53.95,30.21,Clear sky,4.11,✅ Safe,2025-08-23 16:39:31
Bandar-e Mah Shahr,"Iran, Islamic Republic of",30.5333,49.1667,44.46,Clear sky,3.72,✅ Safe,2025-08-23 16:39:33
Bandare Parsian,"Iran, Islamic Republic of",27.1667,52.9,35.47,Clear sky,3.08,✅ Safe,2025-08-23 16:39:34
Bushehr,"Iran, Islamic Republic of",28.9667,50.8333,36.19,Clear sky,6.52,⚠ Moderate,2025-08-23 16:39:36
Dayyer,"Iran, Islamic Republic of",27.8333,51.9333,37.98,Clear sky,5.15,⚠ Moderate,2025-08-23 16:39:38
Imam Khomeini Pt/ Mahshahr City,"Iran, Islamic Republic of",30.4167,49.0667,41.45,Clear sky,3.37,✅ Safe,2025-08-23 16:39:39
Kermanshah (Bakhtaran),"Iran, Islamic Republic of",34.3,47.05,36.95,Clear sky,2.68,✅ Safe,2025-08-23 16:39:41
Shahid Rajaee Pt/Bandar Abbas,"Iran, Islamic Republic of",27.1167,56.0667,36.62,Clear sky,5.61,⚠ Moderate,2025-08-23 16:39:43
Tombak,"Iran, Islamic Republic of",27.7167,52.1667,35.21,Clear sky,3.33,✅ Safe,2025-08-23 16:39:44
Amirabad,"Iran, Islamic Republic of",26.85,54.367,36.22,Clear sky,4.58,✅ Safe,2025-08-23 16:39:46
Soroosh (Cyrus) Terminal,"Iran, Islamic Republic of",29.033,49.467,34.1,Clear sky,4.1,✅ Safe,2025-08-23 16:39:48
Freidoon Kenar,"Iran, Islamic Republic of",36.7,52.55,27.19,Clear sky,4.55,✅ Safe,2025-08-23 16:39:49
Khorramshahr,"Iran, Islamic Republic of",30.4256219,48.1891185,46.08,Clear sky,5.05,⚠ Moderate,2025-08-23 16:39:51
Neka,"Iran, Islamic Republic of",36.833,53.267,28.93,Clear sky,4.98,✅ Safe,2025-08-23 16:39:52
Shahid Bahonar,"Iran, Islamic Republic of",32.9926532,47.7596484,42.99,Clear sky,3.43,✅ Safe,2025-08-23 16:39:54
Sarooj Anchorage,"Iran, Islamic Republic of",27.733,52.15,35.91,Clear sky,3.42,✅ Safe,2025-08-23 16:39:56
Chah Bahar,"Iran, Islamic Republic of",25.296878,60.6459285,28.91,Broken clouds,6.08,⚠ Moderate,2025-08-23 16:39:57
