Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Ardmore,Ireland,51.95,-7.7167,20.24,Broken clouds,3.94,✅ Safe,2025-08-23 21:37:20
Balbriggan,Ireland,53.6167,-6.1833,20.56,Overcast clouds,2.54,✅ Safe,2025-08-23 21:37:21
Ballina,Ireland,54.1167,-9.1667,19.55,Overcast clouds,1.67,✅ Safe,2025-08-23 21:37:23
Ballina,Ireland,52.8,-8.4333,21.19,Overcast clouds,3.07,✅ Safe,2025-08-23 21:37:24
Bangor,Ireland,54.1333,-9.7333,20.98,Overcast clouds,3.16,✅ Safe,2025-08-23 21:37:26
Bantry,Ireland,51.6833,-9.45,19.07,Overcast clouds,3.46,✅ Safe,2025-08-23 21:37:28
Blanchardstown,Ireland,53.3833,-6.3667,20.79,Overcast clouds,1.41,✅ Safe,2025-08-23 21:37:30
Burtonport,Ireland,54.9833,-8.4333,17.61,Overcast clouds,2.32,✅ Safe,2025-08-23 21:37:37
Cahirciveen,Ireland,51.95,-10.2167,18.01,Overcast clouds,6.09,⚠ Moderate,2025-08-23 21:37:43
Carrick-on-Suir,Ireland,52.3333,-7.4,20.02,Broken clouds,3.83,✅ Safe,2025-08-23 21:37:48
Castlefinn,Ireland,54.8,-7.6,18.54,Light rain,1.57,✅ Safe,2025-08-23 21:37:53
Castletown Bearhaven,Ireland,51.65,-9.9167,17.79,Overcast clouds,4.03,✅ Safe,2025-08-23 21:37:54
Clarecastle,Ireland,52.8167,-8.95,22.09,Overcast clouds,2.46,✅ Safe,2025-08-23 21:37:58
Clogherhead,Ireland,53.7833,-6.2333,20.27,Light rain,2.06,✅ Safe,2025-08-23 21:38:01
Coolock,Ireland,53.3833,-6.1833,20.57,Overcast clouds,1.16,✅ Safe,2025-08-23 21:38:06
Drogheda Maxol Facility,Ireland,53.7167,-6.3333,20.51,Light rain,0.65,✅ Safe,2025-08-23 21:38:15
Drogheda Premiere Periclase,Ireland,53.7210961,-6.3212355,20.51,Light rain,0.65,✅ Safe,2025-08-23 21:38:18
Dublin-Dublin Ferryport Terminals,Ireland,53.3167,-6.2333,20.93,Overcast clouds,0.32,✅ Safe,2025-08-23 21:38:20
Dublin-Ferryport Terminal 1,Ireland,53.3167,-6.1833,20.08,Overcast clouds,0.66,✅ Safe,2025-08-23 21:38:21
Dublin-Ferryport Terminal 2,Ireland,53.3167,-6.2,20.08,Overcast clouds,0.66,✅ Safe,2025-08-23 21:38:22
