Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Acciaroli,Italy,40.1833,15.0167,25.69,Clear sky,1.61,✅ Safe,2025-08-23 21:50:14
Aci Castello,Italy,37.55,15.1333,27.37,Clear sky,5.01,⚠ Moderate,2025-08-23 21:50:16
Aci Trezza,Italy,37.5667,15.1667,27.25,Clear sky,4.71,✅ Safe,2025-08-23 21:50:17
Agropoli,Italy,40.35,14.9833,26.08,Clear sky,2.38,✅ Safe,2025-08-23 21:50:19
Alassio,Italy,44.0,8.1667,26.37,Few clouds,2.32,✅ Safe,2025-08-23 21:50:20
Alghero,Italy,40.55,8.3167,24.9,Clear sky,5.75,⚠ Moderate,2025-08-23 21:50:22
Amalfi,Italy,40.6333,14.6,19.65,Clear sky,2.56,✅ Safe,2025-08-23 21:50:23
Amantea,Italy,39.1333,16.0667,24.94,Clear sky,0.61,✅ Safe,2025-08-23 21:50:25
Ancona,Italy,43.6333,13.5,24.13,Few clouds,2.74,✅ Safe,2025-08-23 21:50:27
Andora,Italy,43.95,8.15,27.39,Few clouds,2.38,✅ Safe,2025-08-23 21:50:28
Anguillara Sabazia,Italy,42.0833,12.2667,25.59,Scattered clouds,4.02,✅ Safe,2025-08-23 21:50:30
Anzio,Italy,41.45,12.6167,27.0,Clear sky,5.2,⚠ Moderate,2025-08-23 21:50:31
Arbatax,Italy,39.9333,9.7,28.72,Clear sky,2.79,✅ Safe,2025-08-23 21:50:33
Arenzano,Italy,44.4,8.6833,26.2,Scattered clouds,2.35,✅ Safe,2025-08-23 21:50:34
Arma di Taggia,Italy,43.8167,7.85,25.16,Clear sky,2.01,✅ Safe,2025-08-23 21:50:36
Augusta,Italy,37.2167,15.2167,27.95,Clear sky,5.31,⚠ Moderate,2025-08-23 21:50:38
Avola,Italy,36.9,15.1333,29.54,Clear sky,6.8,⚠ Moderate,2025-08-23 21:50:39
Bagnara Calabra,Italy,38.2833,15.8,26.62,Clear sky,5.18,⚠ Moderate,2025-08-23 21:50:41
Bagnoli,Italy,40.8,14.1667,23.97,Clear sky,3.49,✅ Safe,2025-08-23 21:50:42
Baia,Italy,40.8167,14.0667,24.22,Clear sky,3.36,✅ Safe,2025-08-23 21:50:44
Bardello,Italy,45.8333,8.7,25.14,Broken clouds,1.84,✅ Safe,2025-08-23 21:50:46
Bari,Italy,41.1333,16.85,26.22,Few clouds,2.76,✅ Safe,2025-08-23 21:50:47
Barletta,Italy,41.3167,16.2833,23.99,Scattered clouds,3.15,✅ Safe,2025-08-23 21:50:49
Bellaria,Italy,44.15,12.4667,24.42,Few clouds,5.43,⚠ Moderate,2025-08-23 21:50:51
Belvedere Marittimo,Italy,39.6167,15.85,24.77,Clear sky,1.7,✅ Safe,2025-08-23 21:50:52
Bianco,Italy,38.0833,16.15,27.27,Clear sky,0.74,✅ Safe,2025-08-23 21:50:54
Bisceglie,Italy,41.2333,16.5,24.45,Scattered clouds,2.7,✅ Safe,2025-08-23 21:50:56
Bordighera,Italy,43.7667,7.6667,27.24,Clear sky,2.08,✅ Safe,2025-08-23 21:50:57
Bosa,Italy,40.3,8.5,23.62,Clear sky,4.37,✅ Safe,2025-08-23 21:50:59
Bova Marina,Italy,37.9333,15.9167,28.16,Clear sky,6.22,⚠ Moderate,2025-08-23 21:51:00
Bovalino Marina,Italy,38.15,16.1667,26.99,Clear sky,1.39,✅ Safe,2025-08-23 21:51:02
Brindisi,Italy,40.6333,17.9333,24.55,Light rain,3.25,✅ Safe,2025-08-23 21:51:04
Cala Gonone,Italy,40.3,9.6333,26.63,Clear sky,0.81,✅ Safe,2025-08-23 21:51:05
Calasetta,Italy,39.05,8.3667,25.31,Clear sky,8.52,⚠ Moderate,2025-08-23 21:51:07
Camogli,Italy,44.35,9.15,26.9,Few clouds,1.74,✅ Safe,2025-08-23 21:51:09
Caorle,Italy,45.6,12.8833,24.46,Scattered clouds,0.99,✅ Safe,2025-08-23 21:51:10
Capo d'Orlando,Italy,38.1667,14.75,26.3,Light rain,4.97,✅ Safe,2025-08-23 21:51:12
Capraia,Italy,43.05,9.8333,25.86,Clear sky,1.49,✅ Safe,2025-08-23 21:51:14
Capri,Italy,40.55,14.2333,23.58,Clear sky,2.58,✅ Safe,2025-08-23 21:51:16
Cariati,Italy,39.5,16.95,27.32,Scattered clouds,5.0,⚠ Moderate,2025-08-23 21:51:17
Casamicciola Terme,Italy,40.75,13.8833,25.43,Clear sky,3.32,✅ Safe,2025-08-23 21:51:19
Castel Volturno,Italy,41.3333,13.9333,23.77,Scattered clouds,2.86,✅ Safe,2025-08-23 21:51:20
Castellammare del Golfo,Italy,38.0167,12.8833,26.12,Clear sky,4.67,✅ Safe,2025-08-23 21:51:22
Castellammare di Stabia,Italy,40.7,14.4833,26.27,Clear sky,2.69,✅ Safe,2025-08-23 21:51:24
Castelsardo,Italy,40.9167,8.7167,25.0,Clear sky,7.07,⚠ Moderate,2025-08-23 21:51:25
Castiglioncello,Italy,43.4,10.4,25.05,Clear sky,3.81,✅ Safe,2025-08-23 21:51:27
Castiglione della Pescaia,Italy,42.7667,10.8833,25.92,Clear sky,3.69,✅ Safe,2025-08-23 21:51:28
Castro Marina,Italy,39.9833,18.4,26.18,Few clouds,1.94,✅ Safe,2025-08-23 21:51:31
Catania,Italy,37.5,15.1,28.71,Clear sky,6.26,⚠ Moderate,2025-08-23 21:51:33
Cattolica,Italy,43.9667,12.7333,22.22,Scattered clouds,5.16,⚠ Moderate,2025-08-23 21:51:34
Cavo,Italy,42.85,10.4167,25.95,Clear sky,2.91,✅ Safe,2025-08-23 21:51:36
Cecina,Italy,43.3167,10.5167,26.14,Clear sky,3.19,✅ Safe,2025-08-23 21:51:37
Cefalu,Italy,38.0333,14.0167,26.19,Clear sky,4.38,✅ Safe,2025-08-23 21:51:40
Cervia,Italy,44.2667,12.3667,24.45,Scattered clouds,4.34,✅ Safe,2025-08-23 21:51:42
Cesenatico,Italy,44.2,12.4167,24.45,Scattered clouds,4.55,✅ Safe,2025-08-23 21:51:43
Cetara,Italy,40.65,14.7,20.59,Light rain,2.15,✅ Safe,2025-08-23 21:51:45
Cetraro,Italy,39.5167,15.9333,25.06,Clear sky,1.87,✅ Safe,2025-08-23 21:51:47
Chiavari,Italy,44.3167,9.3167,25.41,Few clouds,1.66,✅ Safe,2025-08-23 21:51:49
Chioggia,Italy,45.2333,12.2833,24.81,Few clouds,1.47,✅ Safe,2025-08-23 21:51:51
Ciro Marina,Italy,39.3667,17.1333,26.13,Few clouds,6.53,⚠ Moderate,2025-08-23 21:51:53
Civitavecchia,Italy,42.1,11.8,26.21,Clear sky,4.35,✅ Safe,2025-08-23 21:51:55
Copanello,Italy,38.7667,16.55,26.45,Clear sky,7.23,⚠ Moderate,2025-08-23 21:51:56
Corigliano Calabro,Italy,39.6,16.5167,27.34,Clear sky,1.39,✅ Safe,2025-08-23 21:51:58
Crotone,Italy,39.0833,17.1333,28.55,Few clouds,0.77,✅ Safe,2025-08-23 21:52:00
Cupra Marittima,Italy,43.0167,13.85,22.57,Heavy intensity rain,1.32,✅ Safe,2025-08-23 21:52:02
Diamante,Italy,39.6833,15.8167,24.23,Clear sky,1.36,✅ Safe,2025-08-23 21:52:04
Duino,Italy,45.7667,13.5833,24.54,Scattered clouds,1.05,✅ Safe,2025-08-23 21:52:06
