Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Aioi,Japan,34.7833,134.4667,29.62,Overcast clouds,0.95,✅ Safe,2025-08-23 16:40:04
Aki-gun/Hiroshima,Japan,34.3333,132.5333,28.81,Overcast clouds,0.92,✅ Safe,2025-08-23 16:40:05
AmagasakiNishinomiyaAshiya,Japan,34.7167,135.4167,31.11,Overcast clouds,3.08,✅ Safe,2025-08-23 16:40:07
Aomi,Japan,35.6167,139.7833,29.64,Overcast clouds,5.77,⚠ Moderate,2025-08-23 16:40:09
"Ariake, Tokyo",Japan,35.6333,139.7833,30.05,Overcast clouds,5.3,⚠ Moderate,2025-08-23 16:40:10
Asahimachi,Japan,35.5333,139.7,29.49,Overcast clouds,6.58,⚠ Moderate,2025-08-23 16:40:12
Asakuchi,Japan,34.5167,133.5833,28.89,Overcast clouds,1.3,✅ Safe,2025-08-23 16:40:13
Ataka,Japan,36.4167,136.4167,28.0,Overcast clouds,1.4,✅ Safe,2025-08-23 16:40:15
Chigasaki,Japan,35.3167,139.4,28.37,Overcast clouds,5.4,⚠ Moderate,2025-08-23 16:40:17
Chiryu,Japan,35.0,137.05,29.82,Overcast clouds,3.39,✅ Safe,2025-08-23 16:40:18
"Fukushima, Hokkaido",Japan,41.4667,140.25,22.05,Scattered clouds,2.95,✅ Safe,2025-08-23 16:40:20
"Fukushima, Miyazaki",Japan,31.4667,131.2167,26.66,Few clouds,2.39,✅ Safe,2025-08-23 16:40:22
"Fukushima, Nagasaki",Japan,33.35,129.8,27.3,Broken clouds,1.89,✅ Safe,2025-08-23 16:40:23
"Furusato, Kagoshima",Japan,27.0441569,128.4508166,29.26,Few clouds,3.6,✅ Safe,2025-08-23 16:40:25
"Futtsu, Chiba",Japan,35.5833,140.3833,29.0,Overcast clouds,3.33,✅ Safe,2025-08-23 16:40:27
Gobo Wakayama,Japan,33.8833,135.15,29.55,Overcast clouds,2.29,✅ Safe,2025-08-23 16:40:28
Gushikawa,Japan,26.35,127.8667,28.99,Broken clouds,3.05,✅ Safe,2025-08-23 16:40:30
Hakata/Fukuoka,Japan,33.6,130.4167,29.13,Overcast clouds,1.8,✅ Safe,2025-08-23 16:40:31
Hamura,Japan,35.7667,139.3,30.45,Overcast clouds,1.57,✅ Safe,2025-08-23 16:40:34
Hatoma,Japan,24.4667,123.7667,29.29,Overcast clouds,5.35,⚠ Moderate,2025-08-23 16:40:36
Higashisonogi-Gun Cho,Japan,32.0333,129.9167,29.3,Scattered clouds,2.75,✅ Safe,2025-08-23 16:40:37
Hiratsuka,Japan,35.3167,139.35,28.28,Overcast clouds,4.8,✅ Safe,2025-08-23 16:40:39
Ichikikushikino,Japan,31.7167,130.2667,27.67,Scattered clouds,2.12,✅ Safe,2025-08-23 16:40:41
Iizuka,Japan,33.65,130.6833,29.03,Overcast clouds,0.35,✅ Safe,2025-08-23 16:40:43
Ikitsuki,Japan,33.3833,129.4333,28.15,Scattered clouds,3.59,✅ Safe,2025-08-23 16:40:44
Inazawa,Japan,35.25,136.7833,30.6,Overcast clouds,2.6,✅ Safe,2025-08-23 16:40:46
Ishigaki,Japan,24.3333,124.15,29.19,Broken clouds,4.8,✅ Safe,2025-08-23 16:40:47
Ishikariwan Shinko,Japan,43.35,141.5,20.61,Scattered clouds,3.54,✅ Safe,2025-08-23 16:40:49
Ishikawa,Japan,26.4167,127.8167,29.0,Scattered clouds,3.32,✅ Safe,2025-08-23 16:40:51
Joetsu,Japan,37.15,138.2333,27.57,Scattered clouds,1.26,✅ Safe,2025-08-23 16:40:52
Kasumigaura,Japan,36.0333,140.2167,30.38,Overcast clouds,3.48,✅ Safe,2025-08-23 16:40:54
Kasuya,Japan,33.6167,130.4833,29.14,Overcast clouds,1.3,✅ Safe,2025-08-23 16:40:57
Kikaishima,Japan,28.3167,129.9833,28.95,Scattered clouds,1.22,✅ Safe,2025-08-23 16:40:58
Kitakami,Japan,39.2833,141.1167,24.73,Broken clouds,1.53,✅ Safe,2025-08-23 16:41:00
Kitakyushu,Japan,33.8333,130.8333,28.22,Broken clouds,2.13,✅ Safe,2025-08-23 16:41:02
Kitsuki,Japan,33.4167,131.6167,28.48,Overcast clouds,1.01,✅ Safe,2025-08-23 16:41:03
Kobe,Japan,34.6833,135.1667,29.13,Overcast clouds,2.54,✅ Safe,2025-08-23 16:41:05
Kohama,Japan,24.3333,123.9833,29.26,Broken clouds,4.97,✅ Safe,2025-08-23 16:41:07
Kokura,Japan,33.8,130.8833,28.78,Broken clouds,1.71,✅ Safe,2025-08-23 16:41:09
Koshi,Japan,32.8833,130.7833,28.06,Scattered clouds,1.6,✅ Safe,2025-08-23 16:41:11
Minamidaito,Japan,25.8333,131.2333,29.15,Broken clouds,5.16,⚠ Moderate,2025-08-23 16:41:13
Mitajiri,Japan,34.0333,131.5833,29.15,Overcast clouds,2.99,✅ Safe,2025-08-23 16:41:14
Miyagi,Japan,36.4333,139.1667,29.64,Overcast clouds,2.09,✅ Safe,2025-08-23 16:41:16
Miyakojima,Japan,24.7833,125.3,28.29,Few clouds,3.77,✅ Safe,2025-08-23 16:41:18
"Miyoshi, Tokushima",Japan,34.0167,133.8,27.41,Overcast clouds,0.87,✅ Safe,2025-08-23 16:41:19
Moji/Kitakyushu,Japan,33.9,130.9667,28.9,Broken clouds,2.41,✅ Safe,2025-08-23 16:41:21
"Muta, Nagasaki",Japan,31.8167,130.2667,27.71,Scattered clouds,1.54,✅ Safe,2025-08-23 16:41:23
"Nagareyama, Chiba",Japan,35.85,139.9,30.09,Overcast clouds,4.44,✅ Safe,2025-08-23 16:41:24
Nago,Japan,26.5833,127.9667,28.73,Scattered clouds,2.67,✅ Safe,2025-08-23 16:41:26
Nakamichi,Japan,35.5833,138.5833,25.78,Overcast clouds,1.01,✅ Safe,2025-08-23 16:41:27
Nakanoseki,Japan,34.0,131.5333,,No Data,,❓ Unknown,2025-08-23 16:41:40
Nakanoto,Japan,36.9833,136.9,,No Data,,❓ Unknown,2025-08-23 16:41:53
Narashino,Japan,35.6667,140.0167,28.12,Overcast clouds,5.81,⚠ Moderate,2025-08-23 16:41:55
Niikappu,Japan,42.3667,142.3167,21.92,Clear sky,5.51,⚠ Moderate,2025-08-23 16:41:56
Ogi,Japan,33.2833,130.2,28.5,Broken clouds,2.19,✅ Safe,2025-08-23 16:41:58
Omachi,Japan,36.8333,138.4167,24.89,Overcast clouds,1.16,✅ Safe,2025-08-23 16:42:00
Omi,Japan,37.0167,137.8,26.96,Overcast clouds,2.72,✅ Safe,2025-08-23 16:42:01
Onojo,Japan,33.5333,130.4833,28.96,Overcast clouds,0.95,✅ Safe,2025-08-23 16:42:03
Oppama,Japan,35.3,139.6167,27.33,Overcast clouds,8.15,⚠ Moderate,2025-08-23 16:42:04
Osaka,Japan,34.6667,135.5,31.13,Overcast clouds,3.08,✅ Safe,2025-08-23 16:42:06
"Oshima, Nagasaki",Japan,33.0667,129.6167,29.6,Scattered clouds,1.89,✅ Safe,2025-08-23 16:42:07
Ryuo,Japan,35.0607672,136.1244806,30.6,Overcast clouds,0.86,✅ Safe,2025-08-23 16:42:08
Saga,Japan,33.0833,133.1,25.2,Few clouds,1.2,✅ Safe,2025-08-23 16:42:10
Saikai,Japan,32.9333,129.65,27.46,Scattered clouds,1.86,✅ Safe,2025-08-23 16:42:11
Sanyo Onoda Yamaguchi,Japan,34.0833,131.1833,28.74,Overcast clouds,0.9,✅ Safe,2025-08-23 16:42:12
Satsumasendai,Japan,31.8167,130.25,27.71,Scattered clouds,1.54,✅ Safe,2025-08-23 16:42:14
Seki,Japan,35.4833,136.9167,29.74,Overcast clouds,1.53,✅ Safe,2025-08-23 16:42:15
"Sendai, Miyagi",Japan,38.1333,140.9167,26.87,Overcast clouds,2.05,✅ Safe,2025-08-23 16:42:17
Shibetsu,Japan,44.1786188,142.4001131,19.22,Overcast clouds,1.42,✅ Safe,2025-08-23 16:42:18
"Shinagawa, Tokyo",Japan,35.6,139.7167,30.65,Overcast clouds,5.24,⚠ Moderate,2025-08-23 16:42:20
Shinko,Japan,36.5667,138.0667,23.56,Overcast clouds,2.06,✅ Safe,2025-08-23 16:42:21
Sukumowan,Japan,32.9167,132.7167,27.55,Scattered clouds,2.11,✅ Safe,2025-08-23 16:42:22
Takahama/Amakusa,Japan,32.3667,130.0,29.32,Scattered clouds,2.39,✅ Safe,2025-08-23 16:42:24
Taniyama,Japan,31.2833,130.3167,26.68,Scattered clouds,3.13,✅ Safe,2025-08-23 16:42:25
Tobata/Kitakyushu,Japan,33.8833,130.8333,28.75,Broken clouds,2.95,✅ Safe,2025-08-23 16:42:27
Tobo,Japan,33.4833,129.9333,28.1,Broken clouds,2.52,✅ Safe,2025-08-23 16:42:28
