Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Aewol,"Korea, Republic of",33.45,126.3167,28.97,Overcast clouds,3.67,✅ Safe,2025-08-23 16:45:35
Biin,"Korea, Republic of",36.1167,126.4833,28.83,Clear sky,1.96,✅ Safe,2025-08-23 16:45:37
Boryeong,"Korea, Republic of",36.3167,126.5,28.27,Clear sky,1.48,✅ Safe,2025-08-23 16:45:38
Bupyong/Incheon,"Korea, Republic of",37.5,129.1333,28.39,Broken clouds,0.85,✅ Safe,2025-08-23 16:45:39
Busan,"Korea, Republic of",35.1333,129.05,26.81,Clear sky,2.64,✅ Safe,2025-08-23 16:45:41
Chuja,"Korea, Republic of",33.95,126.3,29.14,Broken clouds,2.75,✅ Safe,2025-08-23 16:45:42
Daebul/Yeongam-gun,"Korea, Republic of",34.75,126.4333,27.53,Scattered clouds,2.29,✅ Safe,2025-08-23 16:45:43
Daecheon,"Korea, Republic of",36.3167,126.5,28.27,Clear sky,1.48,✅ Safe,2025-08-23 16:45:45
Daeheuksando,"Korea, Republic of",34.6833,125.4333,28.86,Broken clouds,2.94,✅ Safe,2025-08-23 16:45:46
Daesan/Seosan,"Korea, Republic of",37.0,126.3667,29.0,Clear sky,2.51,✅ Safe,2025-08-23 16:45:47
Dangjin,"Korea, Republic of",36.9667,126.7833,29.25,Clear sky,1.97,✅ Safe,2025-08-23 16:45:49
Donghae,"Korea, Republic of",37.4833,129.1167,27.68,Broken clouds,1.02,✅ Safe,2025-08-23 16:45:50
Gageohyangri,"Korea, Republic of",34.0667,125.0833,29.07,Broken clouds,4.57,✅ Safe,2025-08-23 16:45:51
Galdoo,"Korea, Republic of",34.3,126.5167,28.0,Broken clouds,1.68,✅ Safe,2025-08-23 16:45:53
Gamcheon/Busan,"Korea, Republic of",35.0833,129.0,28.9,Clear sky,2.9,✅ Safe,2025-08-23 16:45:54
Ganggu,"Korea, Republic of",36.35,129.3833,27.73,Clear sky,0.25,✅ Safe,2025-08-23 16:45:56
Geoje,"Korea, Republic of",34.85,128.5833,27.44,Clear sky,4.19,✅ Safe,2025-08-23 16:45:57
Geomundo,"Korea, Republic of",34.0167,127.3,28.66,Broken clouds,4.0,✅ Safe,2025-08-23 16:45:58
Gohyeon/Geoje,"Korea, Republic of",34.8833,128.6167,28.34,Clear sky,4.19,✅ Safe,2025-08-23 16:46:00
