Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Ainazi,Latvia,57.8667,24.3667,14.1,Scattered clouds,5.84,⚠ Moderate,2025-08-23 21:59:21
Aizkraukle,Latvia,56.6,25.2167,14.19,Broken clouds,3.97,✅ Safe,2025-08-23 21:59:22
Baldone,Latvia,56.7333,24.3833,14.56,Broken clouds,3.85,✅ Safe,2025-08-23 21:59:24
Engure,Latvia,57.1667,23.2167,14.36,Scattered clouds,4.22,✅ Safe,2025-08-23 21:59:26
Jekabpils,Latvia,56.4833,25.85,14.2,Few clouds,3.18,✅ Safe,2025-08-23 21:59:28
Karsava,Latvia,56.7833,27.6667,13.6,Broken clouds,4.19,✅ Safe,2025-08-23 21:59:30
Lapmezciems,Latvia,57.0,23.5167,14.72,Scattered clouds,4.36,✅ Safe,2025-08-23 21:59:32
Liepaja,Latvia,56.5167,21.0167,13.94,Broken clouds,7.09,⚠ Moderate,2025-08-23 21:59:33
Ludza,Latvia,56.55,27.7167,13.93,Broken clouds,3.44,✅ Safe,2025-08-23 21:59:36
Marupe,Latvia,56.9,24.0333,14.71,Broken clouds,3.9,✅ Safe,2025-08-23 21:59:37
Mersrags,Latvia,57.3333,23.1,14.03,Broken clouds,4.5,✅ Safe,2025-08-23 21:59:39
Ogre,Latvia,56.8,24.6167,14.52,Broken clouds,3.66,✅ Safe,2025-08-23 21:59:40
Ropazi,Latvia,56.9667,24.6333,14.27,Broken clouds,3.37,✅ Safe,2025-08-23 21:59:42
Rumbula,Latvia,56.8667,24.25,14.61,Scattered clouds,3.61,✅ Safe,2025-08-23 21:59:44
Salacgriva,Latvia,57.75,24.35,14.25,Light rain,5.27,⚠ Moderate,2025-08-23 21:59:45
Skulte,Latvia,57.3167,24.4333,14.45,Overcast clouds,6.19,⚠ Moderate,2025-08-23 21:59:47
Stopini,Latvia,56.9333,24.3833,14.54,Broken clouds,3.46,✅ Safe,2025-08-23 21:59:48
Tiraine,Latvia,56.8667,24.0667,14.66,Broken clouds,3.72,✅ Safe,2025-08-23 21:59:50
Ungurpils,Latvia,57.7667,24.8,13.68,Scattered clouds,3.0,✅ Safe,2025-08-23 21:59:52
Jurmalciems,Latvia,56.3,20.98333,14.17,Overcast clouds,7.08,⚠ Moderate,2025-08-23 21:59:54
Kolka,Latvia,57.73333,22.58333,13.43,Light rain,4.65,✅ Safe,2025-08-23 21:59:56
Kuivizi,Latvia,57.78333,24.35,14.22,Light rain,5.32,⚠ Moderate,2025-08-23 21:59:58
Pavilosta,Latvia,56.88333,21.16667,13.67,Light rain,7.86,⚠ Moderate,2025-08-23 22:00:00
Pavilosta,Latvia,56.883,21.183,13.49,Light rain,7.29,⚠ Moderate,2025-08-23 22:00:02
Riga,Latvia,56.9496487,24.1051865,14.15,Scattered clouds,2.86,✅ Safe,2025-08-23 22:00:04
Roja,Latvia,57.5,22.8,12.97,Overcast clouds,3.12,✅ Safe,2025-08-23 22:00:07
Ventspils,Latvia,57.4,21.5333,14.0,Overcast clouds,9.78,⚠ Moderate,2025-08-23 22:00:09
Jurmala,Latvia,56.95,23.75,13.89,Scattered clouds,3.13,✅ Safe,2025-08-23 22:00:11
