Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Baa Atoll,Maldives,5.1333,72.95,28.04,Overcast clouds,4.15,✅ Safe,2025-08-23 16:48:20
Coastline Private Port,Maldives,4.1667,73.45,28.08,Overcast clouds,3.91,✅ Safe,2025-08-23 16:48:21
Halaveli,Maldives,4.0333,72.9167,28.08,Overcast clouds,3.8,✅ Safe,2025-08-23 16:48:23
Hithadhoo Port,Maldives,-0.6333,73.1,28.37,Few clouds,2.69,✅ Safe,2025-08-23 16:48:24
Hulhule Island,Maldives,4.1833,73.5167,28.1,Overcast clouds,3.93,✅ Safe,2025-08-23 16:48:25
Kulhudhuffushi,Maldives,6.6167,73.05,27.38,Scattered clouds,4.51,✅ Safe,2025-08-23 16:48:27
Kulhudhuffushi Port,Maldives,6.6167,73.0667,27.4,Scattered clouds,4.58,✅ Safe,2025-08-23 16:48:28
Maamigili Port,Maldives,3.4667,72.8333,28.16,Overcast clouds,3.77,✅ Safe,2025-08-23 16:48:29
Maldive Gas,Maldives,4.1833,73.45,28.08,Overcast clouds,3.91,✅ Safe,2025-08-23 16:48:31
Male,Maldives,4.1667,73.5,28.1,Overcast clouds,3.92,✅ Safe,2025-08-23 16:48:32
Male' Commercial Harbor,Maldives,4.1667,73.5,28.1,Overcast clouds,3.92,✅ Safe,2025-08-23 16:48:33
Rangali,Maldives,3.6,72.7,28.2,Overcast clouds,3.79,✅ Safe,2025-08-23 16:48:35
Villa Hakatha,Maldives,4.1833,73.4333,28.09,Overcast clouds,3.91,✅ Safe,2025-08-23 16:48:36
