Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Balzan,Malta,35.9,14.45,25.45,Clear sky,9.18,⚠ Moderate,2025-08-23 22:00:45
Birzebbugia,Malta,35.8333,14.5333,25.76,Clear sky,8.84,⚠ Moderate,2025-08-23 22:00:47
Delimara,Malta,35.8167,14.55,26.2,Clear sky,8.8,⚠ Moderate,2025-08-23 22:00:49
Floriana,Malta,35.8833,14.5,25.81,Clear sky,9.17,⚠ Moderate,2025-08-23 22:00:50
Gzira,Malta,35.9,14.4833,25.81,Clear sky,9.17,⚠ Moderate,2025-08-23 22:00:52
Kirkop,Malta,35.8333,14.4833,25.39,Clear sky,8.87,⚠ Moderate,2025-08-23 22:00:54
Malta Freeport Distripark,Malta,35.8333,14.5333,25.76,Clear sky,8.84,⚠ Moderate,2025-08-23 22:00:56
Marsa,Malta,35.8667,14.4833,25.68,Clear sky,9.02,⚠ Moderate,2025-08-23 22:00:58
Marsamxett,Malta,35.9,14.5,25.81,Clear sky,9.17,⚠ Moderate,2025-08-23 22:01:00
Marsaskala,Malta,35.8667,14.55,26.04,Clear sky,8.97,⚠ Moderate,2025-08-23 22:01:02
Marsaxlokk,Malta,35.8333,14.5333,25.76,Clear sky,8.84,⚠ Moderate,2025-08-23 22:01:03
"Mgarr, Gozo",Malta,36.0167,14.2833,25.78,Clear sky,9.49,⚠ Moderate,2025-08-23 22:01:05
Saint Paul's Bay (San Pawl il-Bahar),Malta,35.9333,14.3833,25.17,Clear sky,9.39,⚠ Moderate,2025-08-23 22:01:07
Sliema,Malta,35.9,14.5,25.81,Clear sky,9.17,⚠ Moderate,2025-08-23 22:01:09
Tarxien,Malta,35.85,14.5,25.68,Clear sky,9.02,⚠ Moderate,2025-08-23 22:01:12
Valletta,Malta,35.8833,14.5,25.81,Clear sky,9.17,⚠ Moderate,2025-08-23 22:01:13
Marfa,Malta,35.98333,14.33333,25.9,Clear sky,9.47,⚠ Moderate,2025-08-23 22:01:15
Marsascala,Malta,35.86667,14.56667,26.04,Clear sky,8.97,⚠ Moderate,2025-08-23 22:01:17
