Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Acapulco,Mexico,16.85,-99.8667,26.24,Overcast clouds,3.22,✅ Safe,2025-08-23 17:35:13
Acolman,Mexico,19.6167,-98.9167,15.11,Light rain,1.33,✅ Safe,2025-08-23 17:35:15
Agua Prieta,Mexico,31.3,-109.5667,22.88,Clear sky,1.62,✅ Safe,2025-08-23 17:35:16
Altamira,Mexico,22.4,-97.9167,24.59,Overcast clouds,1.93,✅ Safe,2025-08-23 17:35:18
Amatitan,Mexico,20.8333,-103.7167,18.66,Light rain,0.35,✅ Safe,2025-08-23 17:35:20
Arizpe,Mexico,30.3333,-110.1667,24.04,Clear sky,0.89,✅ Safe,2025-08-23 17:35:22
Boca del Rio,Mexico,19.1167,-96.1167,24.2,Overcast clouds,2.13,✅ Safe,2025-08-23 17:35:23
Cabo San Lucas,Mexico,22.8833,-109.8833,26.36,Clear sky,4.44,✅ Safe,2025-08-23 17:35:25
Cadereyta Jimenez,Mexico,25.6,-100.0,22.93,Clear sky,1.84,✅ Safe,2025-08-23 17:35:27
Camargo,Mexico,19.4064913,-99.1761432,16.17,Overcast clouds,0.33,✅ Safe,2025-08-23 17:35:29
Cayo Arcas Terminal,Mexico,19.6833,-92.0833,28.99,Overcast clouds,7.37,⚠ Moderate,2025-08-23 17:35:30
Cedros,Mexico,28.1167,-115.1667,21.09,Clear sky,1.99,✅ Safe,2025-08-23 17:35:32
Cedros Island,Mexico,28.1667,-115.2167,20.6,Clear sky,1.95,✅ Safe,2025-08-23 17:35:34
Chiltepec,Mexico,18.4167,-93.0833,25.27,Overcast clouds,3.41,✅ Safe,2025-08-23 17:35:35
Ciudad del Carmen,Mexico,18.6333,-91.8333,26.24,Scattered clouds,5.85,⚠ Moderate,2025-08-23 17:35:37
Ciudad Madero,Mexico,22.2667,-97.8333,25.14,Broken clouds,2.0,✅ Safe,2025-08-23 17:35:39
Ciudad Rio Bravo,Mexico,25.9667,-98.0833,25.25,Broken clouds,1.53,✅ Safe,2025-08-23 17:35:40
Ciudad Sahagun,Mexico,19.7667,-98.5667,12.78,Broken clouds,0.77,✅ Safe,2025-08-23 17:35:42
Coatzacoalcos,Mexico,18.1333,-94.4,25.05,Overcast clouds,2.4,✅ Safe,2025-08-23 17:35:44
Cotaxtla,Mexico,18.8333,-96.3833,22.84,Overcast clouds,1.29,✅ Safe,2025-08-23 17:35:45
Cozumel,Mexico,20.5167,-86.9333,27.61,Scattered clouds,3.46,✅ Safe,2025-08-23 17:35:47
Cuautla,Mexico,20.2,-104.4,16.03,Overcast clouds,1.02,✅ Safe,2025-08-23 17:35:49
Dolores Hidalgo,Mexico,21.15,-100.9167,15.31,Overcast clouds,0.68,✅ Safe,2025-08-23 17:35:51
Dos Bocas Terminal,Mexico,18.5,-93.1833,27.45,Overcast clouds,4.24,✅ Safe,2025-08-23 17:35:53
Empalme,Mexico,27.9667,-110.8167,29.27,Clear sky,1.51,✅ Safe,2025-08-23 17:35:55
