Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Bonaire,Netherlands,12.1167,-68.2667,29.11,Broken clouds,7.25,⚠ Moderate,2025-08-23 17:07:49
Dorp Rincon,Netherlands,12.2333,-68.3333,28.98,Broken clouds,7.6,⚠ Moderate,2025-08-23 17:07:51
Kralendijk,Netherlands,12.15,-68.2667,29.14,Broken clouds,7.3,⚠ Moderate,2025-08-23 17:07:52
Saba,Netherlands,17.6333,-63.2333,28.62,Overcast clouds,4.82,✅ Safe,2025-08-23 17:07:54
Sint Eustatius,Netherlands,17.4833,-62.9667,28.2,Overcast clouds,3.72,✅ Safe,2025-08-23 17:07:55
Aarle Rixtel,Netherlands,51.5,5.6333,17.92,Broken clouds,3.85,✅ Safe,2025-08-23 17:07:56
Albrandswaard,Netherlands,51.85,4.4167,18.2,Overcast clouds,3.1,✅ Safe,2025-08-23 17:07:58
Alkmaar,Netherlands,52.6333,4.75,17.76,Overcast clouds,4.38,✅ Safe,2025-08-23 17:07:59
Almelo,Netherlands,52.35,6.6667,17.79,Overcast clouds,4.91,✅ Safe,2025-08-23 17:08:01
Almere,Netherlands,52.3667,5.2167,17.93,Overcast clouds,3.96,✅ Safe,2025-08-23 17:08:02
Alphen aan den Rijn,Netherlands,52.1333,4.6667,17.87,Overcast clouds,3.13,✅ Safe,2025-08-23 17:08:04
Amerongen,Netherlands,52.0,5.4667,17.8,Overcast clouds,4.15,✅ Safe,2025-08-23 17:08:05
Amersfoort,Netherlands,52.15,5.3833,17.69,Overcast clouds,3.88,✅ Safe,2025-08-23 17:08:06
Amsterdam,Netherlands,52.4,4.8167,17.92,Overcast clouds,3.4,✅ Safe,2025-08-23 17:08:08
Anna Paulowna,Netherlands,52.8667,4.8667,17.78,Overcast clouds,5.28,⚠ Moderate,2025-08-23 17:08:09
Appingedam,Netherlands,53.3167,6.8667,17.74,Light rain,7.11,⚠ Moderate,2025-08-23 17:08:11
Arcen,Netherlands,51.4833,6.1833,17.63,Overcast clouds,3.38,✅ Safe,2025-08-23 17:08:12
Beesel,Netherlands,51.2667,6.0333,17.84,Overcast clouds,3.5,✅ Safe,2025-08-23 17:08:14
Belfeld,Netherlands,51.3167,6.1167,17.74,Overcast clouds,3.54,✅ Safe,2025-08-23 17:08:15
Bemmel,Netherlands,51.9,5.9,17.73,Overcast clouds,3.46,✅ Safe,2025-08-23 17:08:17
Bergen op Zoom,Netherlands,51.5,4.3,18.38,Overcast clouds,3.44,✅ Safe,2025-08-23 17:08:18
Best,Netherlands,51.5,5.4,18.04,Broken clouds,4.17,✅ Safe,2025-08-23 17:08:20
Beuningen,Netherlands,51.8667,5.7833,17.72,Overcast clouds,3.41,✅ Safe,2025-08-23 17:08:21
Bodegraven,Netherlands,52.0833,4.75,17.71,Overcast clouds,2.85,✅ Safe,2025-08-23 17:08:23
Born,Netherlands,51.0333,5.8167,17.83,Overcast clouds,3.93,✅ Safe,2025-08-23 17:08:24
Borssele,Netherlands,51.4167,3.7167,19.3,Scattered clouds,5.31,⚠ Moderate,2025-08-23 17:08:26
Botlek,Netherlands,51.8833,4.2833,18.26,Overcast clouds,3.42,✅ Safe,2025-08-23 17:08:27
Breda,Netherlands,51.5667,4.8,18.0,Overcast clouds,3.41,✅ Safe,2025-08-23 17:08:28
Breskens,Netherlands,51.3833,3.5667,19.18,Scattered clouds,5.69,⚠ Moderate,2025-08-23 17:08:30
Burghsluis,Netherlands,51.6833,3.75,18.85,Overcast clouds,5.0,⚠ Moderate,2025-08-23 17:08:31
Bussloo,Netherlands,52.2,6.1333,17.77,Overcast clouds,4.34,✅ Safe,2025-08-23 17:08:33
Camperduin,Netherlands,52.75,4.65,16.78,Overcast clouds,5.16,⚠ Moderate,2025-08-23 17:08:34
De Cocksdorp,Netherlands,53.15,4.8833,17.7,Overcast clouds,6.66,⚠ Moderate,2025-08-23 17:08:36
Deest,Netherlands,51.8833,5.6667,17.77,Overcast clouds,3.77,✅ Safe,2025-08-23 17:08:38
Delden,Netherlands,52.2667,6.7167,17.64,Overcast clouds,4.89,✅ Safe,2025-08-23 17:08:39
Delfzijl,Netherlands,52.5167,6.9333,17.63,Overcast clouds,5.4,⚠ Moderate,2025-08-23 17:08:41
Den Helder,Netherlands,52.95,4.7667,16.46,Overcast clouds,5.99,⚠ Moderate,2025-08-23 17:08:43
Dodewaard,Netherlands,51.9167,5.65,17.79,Overcast clouds,3.81,✅ Safe,2025-08-23 17:08:44
Domburg,Netherlands,51.5667,3.5,19.37,Scattered clouds,5.47,⚠ Moderate,2025-08-23 17:08:45
Dordrecht,Netherlands,51.7833,4.6333,18.03,Overcast clouds,2.91,✅ Safe,2025-08-23 17:08:47
Dreischor,Netherlands,51.6833,3.9833,18.62,Overcast clouds,4.84,✅ Safe,2025-08-23 17:08:48
Dreumel,Netherlands,51.85,5.4333,17.88,Overcast clouds,4.15,✅ Safe,2025-08-23 17:08:50
Eindhoven,Netherlands,51.45,5.4667,18.01,Broken clouds,3.8,✅ Safe,2025-08-23 17:08:51
Ekkersrijt,Netherlands,51.5,5.4667,17.99,Broken clouds,3.96,✅ Safe,2025-08-23 17:08:53
Elst,Netherlands,51.9167,5.85,17.75,Overcast clouds,3.46,✅ Safe,2025-08-23 17:08:54
Everingen,Netherlands,51.4,3.75,19.32,Broken clouds,5.28,⚠ Moderate,2025-08-23 17:08:56
Gasselternijveen,Netherlands,52.9863205,6.8460424,17.91,Overcast clouds,5.41,⚠ Moderate,2025-08-23 17:08:57
Gendt,Netherlands,51.8833,5.9667,17.73,Overcast clouds,3.56,✅ Safe,2025-08-23 17:08:59
Goudriaan,Netherlands,51.9,4.9,17.96,Overcast clouds,3.17,✅ Safe,2025-08-23 17:09:00
Groenendijk,Netherlands,52.1333,4.5667,17.95,Overcast clouds,3.44,✅ Safe,2025-08-23 17:09:01
Haaften,Netherlands,51.8167,5.2167,17.93,Broken clouds,3.82,✅ Safe,2025-08-23 17:09:03
Hansweert/Schore,Netherlands,51.4333,4.0,19.11,Overcast clouds,4.96,✅ Safe,2025-08-23 17:09:04
Hardinxveld,Netherlands,51.8167,4.8667,17.95,Overcast clouds,3.09,✅ Safe,2025-08-23 17:09:06
Hardinxveld-Giessendam,Netherlands,51.8167,4.8333,17.96,Overcast clouds,3.03,✅ Safe,2025-08-23 17:09:07
Harlingen,Netherlands,53.1833,5.4333,16.24,Overcast clouds,6.4,⚠ Moderate,2025-08-23 17:09:09
Harskamp,Netherlands,52.1333,5.75,17.66,Overcast clouds,3.52,✅ Safe,2025-08-23 17:09:10
Hazeldonk,Netherlands,51.5,4.7333,18.06,Overcast clouds,3.29,✅ Safe,2025-08-23 17:09:12
Helmond,Netherlands,51.4833,5.6667,17.94,Broken clouds,3.76,✅ Safe,2025-08-23 17:09:13
Hilvarenbeek,Netherlands,51.4833,5.1333,18.01,Overcast clouds,4.21,✅ Safe,2025-08-23 17:09:15
Hoek van Holland,Netherlands,51.9667,4.1167,18.33,Overcast clouds,4.42,✅ Safe,2025-08-23 17:09:16
Holwerd,Netherlands,53.3833,5.8833,16.65,Overcast clouds,6.43,⚠ Moderate,2025-08-23 17:09:18
Hoogkerk,Netherlands,53.2167,6.5,17.75,Overcast clouds,5.59,⚠ Moderate,2025-08-23 17:09:20
IJmuiden/Velsen,Netherlands,52.4667,4.6,17.86,Overcast clouds,4.79,✅ Safe,2025-08-23 17:09:21
IJsselmuiden,Netherlands,52.5667,5.9167,17.9,Overcast clouds,4.64,✅ Safe,2025-08-23 17:09:22
Ijsselsteyn,Netherlands,51.4833,5.9,17.69,Overcast clouds,3.85,✅ Safe,2025-08-23 17:09:24
Keent,Netherlands,51.7,5.7,17.66,Overcast clouds,3.72,✅ Safe,2025-08-23 17:09:26
Kerkdriel,Netherlands,51.7667,5.3333,17.91,Broken clouds,4.14,✅ Safe,2025-08-23 17:09:27
Klazienaveen,Netherlands,52.7333,7.0,17.71,Overcast clouds,5.88,⚠ Moderate,2025-08-23 17:09:29
Krabbendijke,Netherlands,51.4333,4.1167,18.69,Overcast clouds,4.4,✅ Safe,2025-08-23 17:09:30
Krimpen aan den IJssel,Netherlands,51.9167,4.6,18.03,Overcast clouds,2.95,✅ Safe,2025-08-23 17:09:32
Lettele,Netherlands,52.2833,6.2667,17.83,Overcast clouds,4.78,✅ Safe,2025-08-23 17:09:34
Lieren,Netherlands,52.1622894,5.9887781,17.68,Overcast clouds,3.92,✅ Safe,2025-08-23 17:09:35
Lijnden,Netherlands,52.35,4.7667,18.0,Overcast clouds,3.29,✅ Safe,2025-08-23 17:09:37
Lithoijen,Netherlands,51.8,5.4667,17.85,Overcast clouds,4.19,✅ Safe,2025-08-23 17:09:38
Makkum,Netherlands,53.05,5.4,17.78,Overcast clouds,6.28,⚠ Moderate,2025-08-23 17:09:40
Meteren,Netherlands,51.8667,5.2833,17.94,Overcast clouds,3.8,✅ Safe,2025-08-23 17:09:41
Middenbeemster,Netherlands,52.5481066,4.9109338,17.86,Overcast clouds,3.75,✅ Safe,2025-08-23 17:09:43
Mierlo,Netherlands,51.4333,5.6167,17.96,Broken clouds,3.51,✅ Safe,2025-08-23 17:09:44
Moerdijk,Netherlands,51.6833,4.5667,18.13,Overcast clouds,3.01,✅ Safe,2025-08-23 17:09:45
Molenhoek,Netherlands,51.7667,5.8667,17.66,Overcast clouds,3.24,✅ Safe,2025-08-23 17:09:47
Nederasselt,Netherlands,51.7667,5.75,17.68,Overcast clouds,3.35,✅ Safe,2025-08-23 17:09:48
Nederhorst den Berg,Netherlands,52.2667,5.05,17.98,Overcast clouds,2.67,✅ Safe,2025-08-23 17:09:50
Neeltje Jans,Netherlands,51.6331438,3.7007154,19.2,Broken clouds,5.07,⚠ Moderate,2025-08-23 17:09:51
Nieuwdorp,Netherlands,51.4667,3.7333,19.08,Broken clouds,5.21,⚠ Moderate,2025-08-23 17:09:53
Nieuwerkerk aan den IJssel,Netherlands,51.9667,4.6167,17.99,Overcast clouds,2.98,✅ Safe,2025-08-23 17:09:54
Nieuwerkerke,Netherlands,51.7,3.9,18.71,Overcast clouds,4.96,✅ Safe,2025-08-23 17:09:56
Nigtevecht,Netherlands,52.2833,5.0333,17.97,Overcast clouds,2.71,✅ Safe,2025-08-23 17:09:57
Noordeloos,Netherlands,51.9,4.95,17.96,Overcast clouds,3.23,✅ Safe,2025-08-23 17:09:59
Noordwelle,Netherlands,51.7167,3.8,18.76,Overcast clouds,5.0,⚠ Moderate,2025-08-23 17:10:00
Noordwijk aan Zee,Netherlands,52.25,4.4333,17.61,Overcast clouds,4.45,✅ Safe,2025-08-23 17:10:02
Oosterhout,Netherlands,51.65,4.8833,17.9,Overcast clouds,3.41,✅ Safe,2025-08-23 17:10:03
Oostmahorn,Netherlands,53.3833,6.1667,17.62,Overcast clouds,6.76,⚠ Moderate,2025-08-23 17:10:05
Oss,Netherlands,51.7667,5.5333,17.74,Overcast clouds,4.13,✅ Safe,2025-08-23 17:10:06
Oud-Alblas,Netherlands,51.85,4.7,18.01,Overcast clouds,2.88,✅ Safe,2025-08-23 17:10:08
Oudega,Netherlands,53.0,5.55,17.84,Overcast clouds,5.36,⚠ Moderate,2025-08-23 17:10:09
Panheel,Netherlands,51.1833,5.8667,18.01,Overcast clouds,3.58,✅ Safe,2025-08-23 17:10:10
Pernis,Netherlands,51.8833,4.3833,18.19,Overcast clouds,3.23,✅ Safe,2025-08-23 17:10:12
Poortugaal,Netherlands,51.8667,4.4,18.2,Overcast clouds,3.1,✅ Safe,2025-08-23 17:10:13
Rijs,Netherlands,52.8667,5.5,17.84,Overcast clouds,5.88,⚠ Moderate,2025-08-23 17:10:15
Rijsenhout,Netherlands,52.25,4.7167,18.0,Overcast clouds,3.18,✅ Safe,2025-08-23 17:10:16
Rockanje,Netherlands,51.8667,4.0667,18.41,Overcast clouds,4.65,✅ Safe,2025-08-23 17:10:18
Rotterdam,Netherlands,51.9167,4.5,18.1,Overcast clouds,3.07,✅ Safe,2025-08-23 17:10:19
Sas van Gent,Netherlands,51.2333,3.8,19.0,Broken clouds,5.32,⚠ Moderate,2025-08-23 17:10:21
Schagen,Netherlands,52.7833,4.7833,17.74,Overcast clouds,4.81,✅ Safe,2025-08-23 17:10:22
Scharendijke,Netherlands,51.7333,3.85,18.66,Overcast clouds,5.0,⚠ Moderate,2025-08-23 17:10:24
Scherpenisse,Netherlands,51.55,4.1,18.61,Overcast clouds,4.31,✅ Safe,2025-08-23 17:10:25
Scheveningen,Netherlands,52.1,4.25,18.11,Overcast clouds,4.06,✅ Safe,2025-08-23 17:10:27
Schiermonnikoog,Netherlands,53.4833,6.1667,17.56,Overcast clouds,7.51,⚠ Moderate,2025-08-23 17:10:28
Schoorl,Netherlands,52.7333,4.6333,17.78,Overcast clouds,5.12,⚠ Moderate,2025-08-23 17:10:30
's-Gravendeel,Netherlands,51.7833,4.6167,18.09,Overcast clouds,2.93,✅ Safe,2025-08-23 17:10:31
's-Gravenzande,Netherlands,52.0,4.1667,18.3,Overcast clouds,4.3,✅ Safe,2025-08-23 17:10:33
's-Hertogenbosch,Netherlands,51.7,5.3167,17.93,Broken clouds,4.27,✅ Safe,2025-08-23 17:10:34
Sint Michielsgestel,Netherlands,51.6333,5.35,17.97,Broken clouds,4.36,✅ Safe,2025-08-23 17:10:36
Sint Pancras,Netherlands,52.6667,4.7833,17.74,Overcast clouds,4.42,✅ Safe,2025-08-23 17:10:37
Sleeuwijk,Netherlands,51.8167,4.95,17.95,Overcast clouds,3.36,✅ Safe,2025-08-23 17:10:39
Sliedrecht,Netherlands,51.8167,4.7667,17.96,Overcast clouds,2.94,✅ Safe,2025-08-23 17:10:40
Sluiskil,Netherlands,51.2833,3.8333,18.98,Broken clouds,5.35,⚠ Moderate,2025-08-23 17:10:42
Son,Netherlands,51.5,5.5,17.99,Broken clouds,3.89,✅ Safe,2025-08-23 17:10:43
Sprang,Netherlands,51.6667,5.05,17.93,Overcast clouds,3.89,✅ Safe,2025-08-23 17:10:45
Stad aan 't Haringvliet,Netherlands,51.7333,4.25,18.39,Overcast clouds,3.54,✅ Safe,2025-08-23 17:10:46
