Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Las Maderas,Nicaragua,12.4333,-86.0333,22.16,Overcast clouds,1.78,✅ Safe,2025-08-23 17:37:49
Masachapa,Nicaragua,11.7833,-86.5167,24.38,Overcast clouds,4.34,✅ Safe,2025-08-23 17:37:50
Potosi,Nicaragua,11.494083,-85.8575801,24.7,Overcast clouds,7.45,⚠ Moderate,2025-08-23 17:37:52
Puerto Isabel,Nicaragua,13.3667,-83.5667,26.39,Light rain,4.74,✅ Safe,2025-08-23 17:37:53
Puerto Sandino,Nicaragua,12.1833,-86.75,23.79,Overcast clouds,3.51,✅ Safe,2025-08-23 17:37:55
Rama,Nicaragua,12.15,-84.2167,23.47,Light rain,1.03,✅ Safe,2025-08-23 17:37:57
Tipitapa,Nicaragua,12.2,-86.1,23.02,Overcast clouds,1.44,✅ Safe,2025-08-23 17:37:59
Totogalpa,Nicaragua,13.5667,-86.5,18.65,Overcast clouds,1.68,✅ Safe,2025-08-23 17:38:01
Corinto,Nicaragua,12.4907414,-87.1784334,22.85,Broken clouds,1.62,✅ Safe,2025-08-23 17:38:03
Puerto Somoza,Nicaragua,12.18333,-86.75,23.79,Overcast clouds,3.51,✅ Safe,2025-08-23 17:38:04
