Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
A i Lofoten,Norway,67.8833,12.9833,10.48,Overcast clouds,10.31,⚡ Dangerous,2025-08-23 22:01:18
Abelnes,Norway,58.2333,6.6667,15.66,Clear sky,6.8,⚠ Moderate,2025-08-23 22:01:20
Abelvar,Norway,64.7333,11.1833,12.13,Overcast clouds,11.96,⚡ Dangerous,2025-08-23 22:01:22
Agnefest,Norway,58.1167,7.0333,17.92,Clear sky,7.29,⚠ Moderate,2025-08-23 22:01:24
Agotnes,Norway,60.4,5.0167,13.17,Clear sky,12.08,⚡ Dangerous,2025-08-23 22:01:26
Agskardet,Norway,66.7167,13.4833,12.6,Overcast clouds,6.6,⚠ Moderate,2025-08-23 22:01:28
Akkarfjord,Norway,70.7833,23.45,9.4,Broken clouds,1.12,✅ Safe,2025-08-23 22:01:29
Akrehamn,Norway,59.25,5.1667,14.19,Clear sky,12.38,⚡ Dangerous,2025-08-23 22:01:31
Alefjar,Norway,58.2333,8.0167,17.99,Few clouds,4.3,✅ Safe,2025-08-23 22:01:33
Alesund,Norway,62.4667,6.15,12.56,Overcast clouds,5.32,⚠ Moderate,2025-08-23 22:01:35
Alta,Norway,69.9667,23.2333,9.78,Overcast clouds,1.09,✅ Safe,2025-08-23 22:01:37
Alvik,Norway,60.4167,6.4167,15.37,Broken clouds,2.06,✅ Safe,2025-08-23 22:01:39
Alvika,Norway,62.4833,6.3833,12.47,Overcast clouds,4.47,✅ Safe,2025-08-23 22:01:41
Andalsnes,Norway,62.5667,7.7,12.62,Overcast clouds,1.39,✅ Safe,2025-08-23 22:01:43
Andenes,Norway,69.3167,16.1333,11.19,Light rain,9.01,⚠ Moderate,2025-08-23 22:01:45
Anfinnsletta,Norway,68.3333,15.4333,10.76,Broken clouds,5.32,⚠ Moderate,2025-08-23 22:01:47
Ansnes,Norway,63.6333,9.0,11.56,Overcast clouds,8.28,⚠ Moderate,2025-08-23 22:01:49
Ardal - Hjelmeland,Norway,59.15,6.1667,14.15,Clear sky,3.91,✅ Safe,2025-08-23 22:01:51
Ardalstangen,Norway,61.2333,7.7,11.1,Broken clouds,2.75,✅ Safe,2025-08-23 22:01:53
Arendal,Norway,58.45,8.7667,17.39,Scattered clouds,5.95,⚠ Moderate,2025-08-23 22:01:55
Arnafjord,Norway,61.0167,6.3833,14.67,Overcast clouds,2.61,✅ Safe,2025-08-23 22:01:57
Arnoyhamn,Norway,70.05,20.6333,10.72,Overcast clouds,6.63,⚠ Moderate,2025-08-23 22:01:58
Atangen,Norway,58.8667,9.35,17.34,Few clouds,6.75,⚠ Moderate,2025-08-23 22:02:00
Atloy,Norway,61.35,4.8833,12.88,Scattered clouds,9.97,⚠ Moderate,2025-08-23 22:02:02
Aukra,Norway,62.8167,6.9,12.85,Overcast clouds,5.31,⚠ Moderate,2025-08-23 22:02:04
Aure,Norway,63.2667,8.5167,11.27,Overcast clouds,4.13,✅ Safe,2025-08-23 22:02:06
Aurland,Norway,60.9,7.1833,14.37,Broken clouds,2.92,✅ Safe,2025-08-23 22:02:08
Austevoll,Norway,60.1,5.15,14.63,Clear sky,12.56,⚡ Dangerous,2025-08-23 22:02:10
Avaldsnes,Norway,59.35,5.2667,15.63,Few clouds,11.05,⚡ Dangerous,2025-08-23 22:02:11
Averoy,Norway,63.05,7.6667,12.3,Overcast clouds,5.51,⚠ Moderate,2025-08-23 22:02:13
Balestrand,Norway,61.2,6.5333,14.29,Overcast clouds,2.43,✅ Safe,2025-08-23 22:02:15
Ballangen,Norway,68.3333,16.8333,11.11,Broken clouds,2.21,✅ Safe,2025-08-23 22:02:17
Ballstad,Norway,68.0667,13.55,11.37,Overcast clouds,7.07,⚠ Moderate,2025-08-23 22:02:18
Balsfjord,Norway,69.2333,19.2333,10.34,Overcast clouds,1.29,✅ Safe,2025-08-23 22:02:20
Baly,Norway,58.0333,7.15,18.35,Clear sky,7.71,⚠ Moderate,2025-08-23 22:02:22
Batsfjord,Norway,70.6333,29.7167,10.55,Broken clouds,3.71,✅ Safe,2025-08-23 22:02:24
Bellvika,Norway,69.7833,18.7667,10.66,Light rain,4.14,✅ Safe,2025-08-23 22:02:26
Bergen,Norway,60.3833,5.3167,13.69,Few clouds,6.93,⚠ Moderate,2025-08-23 22:02:27
Bergsfjord,Norway,70.25,21.7833,10.23,Overcast clouds,2.66,✅ Safe,2025-08-23 22:02:29
Berlevag,Norway,70.85,29.1,11.1,Broken clouds,4.94,✅ Safe,2025-08-23 22:02:31
Bjarkoy,Norway,68.9833,16.5333,10.56,Broken clouds,6.3,⚠ Moderate,2025-08-23 22:02:33
Bjerkvik,Norway,68.55,17.55,11.14,Overcast clouds,2.71,✅ Safe,2025-08-23 22:02:35
Bjordal,Norway,61.0833,5.8333,13.48,Broken clouds,2.79,✅ Safe,2025-08-23 22:02:37
Bjorkas,Norway,59.7833,10.5,18.09,Scattered clouds,0.95,✅ Safe,2025-08-23 22:02:39
Bjugn,Norway,63.75,9.75,11.51,Overcast clouds,8.65,⚠ Moderate,2025-08-23 22:02:41
