Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Ancon,Panama,8.9667,-79.55,24.35,Overcast clouds,0.88,✅ Safe,2025-08-23 17:38:06
Bahia Las Minas,Panama,9.4,-79.8333,23.88,Overcast clouds,2.07,✅ Safe,2025-08-23 17:38:08
Bayano,Panama,7.6333,-80.3833,22.3,Overcast clouds,0.96,✅ Safe,2025-08-23 17:38:10
Boca Chica,Panama,8.2167,-82.2167,24.89,Light rain,1.98,✅ Safe,2025-08-23 17:38:12
Bocas del Toro,Panama,9.3333,-82.2333,26.02,Overcast clouds,3.04,✅ Safe,2025-08-23 17:38:13
Canazas,Panama,8.1333,-80.7,24.72,Broken clouds,1.35,✅ Safe,2025-08-23 17:38:15
Chiriqui Grande,Panama,8.95,-82.1167,24.91,Light rain,0.97,✅ Safe,2025-08-23 17:38:17
Chitre,Panama,7.9667,-80.4333,25.08,Light rain,2.55,✅ Safe,2025-08-23 17:38:19
Colon,Panama,9.35,-79.8667,24.23,Overcast clouds,1.64,✅ Safe,2025-08-23 17:38:20
Cristobal,Panama,9.35,-79.9,24.36,Overcast clouds,1.72,✅ Safe,2025-08-23 17:38:22
Gualaca,Panama,8.5333,-82.3,23.71,Overcast clouds,0.94,✅ Safe,2025-08-23 17:38:24
Melones,Panama,8.8,-79.6,25.53,Overcast clouds,1.81,✅ Safe,2025-08-23 17:38:26
"Panama, Ciudad de",Panama,8.9667,-79.5333,24.35,Overcast clouds,0.88,✅ Safe,2025-08-23 17:38:28
Pedregal,Panama,9.0968746,-79.4422593,24.03,Overcast clouds,0.63,✅ Safe,2025-08-23 17:38:29
Pese,Panama,7.9,-80.6167,24.43,Light rain,1.09,✅ Safe,2025-08-23 17:38:31
Portobelo,Panama,9.55,-79.65,25.27,Overcast clouds,2.14,✅ Safe,2025-08-23 17:38:32
Puerto Caimito,Panama,8.8667,-79.7167,24.6,Overcast clouds,1.23,✅ Safe,2025-08-23 17:38:34
Rio Grande,Panama,8.444581,-80.4660256,25.04,Overcast clouds,1.1,✅ Safe,2025-08-23 17:38:36
Rodman,Panama,8.95,-79.5667,24.66,Overcast clouds,1.03,✅ Safe,2025-08-23 17:38:38
Santa Clara,Panama,8.3833,-80.1167,25.17,Moderate rain,1.79,✅ Safe,2025-08-23 17:38:39
Taboguilla,Panama,8.8,-79.5,25.9,Overcast clouds,1.88,✅ Safe,2025-08-23 17:38:40
Tocumen,Panama,9.0833,-79.3833,24.34,Overcast clouds,0.79,✅ Safe,2025-08-23 17:38:42
Vacamonte,Panama,8.8667,-79.6667,24.65,Overcast clouds,1.28,✅ Safe,2025-08-23 17:38:44
Balboa,Panama,8.9613962,-79.5631537,24.58,Overcast clouds,1.09,✅ Safe,2025-08-23 17:38:46
Herrera,Panama,7.833,-80.667,24.38,Light rain,0.68,✅ Safe,2025-08-23 17:38:47
Manzanillo,Panama,9.3651477,-79.8811514,24.36,Overcast clouds,1.72,✅ Safe,2025-08-23 17:38:49
Punta Rincon,Panama,8.4682123,-82.274624,24.03,Overcast clouds,0.9,✅ Safe,2025-08-23 17:38:51
Rodman,Panama,8.95,-79.56667,24.66,Overcast clouds,1.03,✅ Safe,2025-08-23 17:38:52
