Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Abulug,Philippines,18.4333,121.45,27.66,Scattered clouds,2.9,✅ Safe,2025-08-23 16:50:57
Amunitan/Aparri,Philippines,18.3167,122.05,26.87,Few clouds,2.83,✅ Safe,2025-08-23 16:50:59
Aras Asan/Bislig,Philippines,8.8833,126.3,26.16,Overcast clouds,3.82,✅ Safe,2025-08-23 16:51:01
Atimonan/Siain,Philippines,13.9833,121.9,26.72,Overcast clouds,1.1,✅ Safe,2025-08-23 16:51:02
"Balabac, Palawan",Philippines,8.1539618,117.1264753,28.05,Overcast clouds,2.11,✅ Safe,2025-08-23 16:51:04
Balingasag,Philippines,8.75,124.7833,26.6,Overcast clouds,0.17,✅ Safe,2025-08-23 16:51:06
Basco,Philippines,20.45,121.9667,29.62,Clear sky,7.34,⚠ Moderate,2025-08-23 16:51:07
Batangas/Luzon,Philippines,13.75,121.05,27.0,Overcast clouds,2.35,✅ Safe,2025-08-23 16:51:10
Bauan/Batangas,Philippines,13.8,121.0,26.16,Overcast clouds,2.14,✅ Safe,2025-08-23 16:51:11
Bauang,Philippines,16.5167,120.3167,27.66,Light rain,8.91,⚠ Moderate,2025-08-23 16:51:13
Binan,Philippines,14.3333,121.0833,27.06,Overcast clouds,0.71,✅ Safe,2025-08-23 16:51:14
"Boac, Marinduque",Philippines,13.4333,121.8333,27.36,Overcast clouds,0.77,✅ Safe,2025-08-23 16:51:16
Bogo,Philippines,11.05,124.0,26.52,Overcast clouds,1.75,✅ Safe,2025-08-23 16:51:18
Boston/Davao,Philippines,7.8667,126.35,23.31,Moderate rain,0.45,✅ Safe,2025-08-23 16:51:20
"Brookes Point, Palawan",Philippines,8.7667,117.8333,26.71,Broken clouds,2.43,✅ Safe,2025-08-23 16:51:21
"Burdeos, Polillo Isl",Philippines,14.8333,121.9667,25.81,Overcast clouds,1.09,✅ Safe,2025-08-23 16:51:23
"Cajidiocan, Visayan Isl",Philippines,12.3667,122.6833,27.11,Overcast clouds,2.57,✅ Safe,2025-08-23 16:51:25
"Calbayog, Samar",Philippines,12.0667,124.6,26.55,Broken clouds,1.55,✅ Safe,2025-08-23 16:51:26
"Calubian, Leyte",Philippines,11.4333,124.4167,24.86,Broken clouds,1.62,✅ Safe,2025-08-23 16:51:28
Capoocan,Philippines,11.3,124.65,24.91,Broken clouds,0.8,✅ Safe,2025-08-23 16:51:29
Castanas,Philippines,13.8833,121.55,26.68,Overcast clouds,1.14,✅ Safe,2025-08-23 16:51:31
Culasi,Philippines,11.6,122.7,27.05,Overcast clouds,3.47,✅ Safe,2025-08-23 16:51:33
Danao,Philippines,10.5333,124.0333,25.73,Overcast clouds,1.78,✅ Safe,2025-08-23 16:51:35
El Nido/Puerto Princesa,Philippines,9.7638429,118.7473298,26.47,Broken clouds,2.31,✅ Safe,2025-08-23 16:51:36
General Santos,Philippines,6.1167,125.15,24.9,Moderate rain,2.86,✅ Safe,2025-08-23 16:51:38
"Gigaquit, Mindanao",Philippines,9.5833,125.6833,25.18,Overcast clouds,1.48,✅ Safe,2025-08-23 16:51:39
"Gigmoto, Catanduanes",Philippines,13.7667,124.3833,25.37,Overcast clouds,2.36,✅ Safe,2025-08-23 16:51:41
Hamtic,Philippines,10.7,121.9667,25.35,Overcast clouds,1.0,✅ Safe,2025-08-23 16:51:43
"Himamaylan, Negros",Philippines,10.0833,122.8667,25.57,Overcast clouds,1.59,✅ Safe,2025-08-23 16:51:44
"Isabela, Basilan",Philippines,6.7,121.9667,25.65,Overcast clouds,1.83,✅ Safe,2025-08-23 16:51:46
Jasaan,Philippines,8.65,124.75,26.41,Overcast clouds,0.06,✅ Safe,2025-08-23 16:51:47
Kabasalan/Zamboanga,Philippines,7.7833,122.75,25.07,Overcast clouds,2.13,✅ Safe,2025-08-23 16:51:49
Kalamansig,Philippines,6.55,124.05,26.79,Light rain,0.76,✅ Safe,2025-08-23 16:51:50
La Carlota,Philippines,10.4167,122.9167,26.09,Overcast clouds,2.74,✅ Safe,2025-08-23 16:51:52
Labason/Zamboanga,Philippines,8.0667,122.5167,25.62,Overcast clouds,1.68,✅ Safe,2025-08-23 16:51:53
Laguna,Philippines,10.3,123.8833,22.88,Overcast clouds,0.88,✅ Safe,2025-08-23 16:51:54
