Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Abinsk,Russian Federation,44.8667,38.15,31.89,Clear sky,7.23,⚠ Moderate,2025-08-23 16:53:51
Aleksandrovsk-Sakhalinskiy,Russian Federation,50.9,142.15,14.35,Overcast clouds,1.76,✅ Safe,2025-08-23 16:53:52
Amderma,Russian Federation,69.7667,61.6667,15.11,Moderate rain,4.11,✅ Safe,2025-08-23 16:53:54
Angarsk,Russian Federation,52.5333,103.8833,20.7,Overcast clouds,2.02,✅ Safe,2025-08-23 16:53:56
Bagaevskaya,Russian Federation,47.3167,40.3833,34.26,Clear sky,5.6,⚠ Moderate,2025-08-23 16:53:57
Belaya Kalitva,Russian Federation,48.1667,40.7833,34.53,Broken clouds,6.02,⚠ Moderate,2025-08-23 16:54:00
Boshnyakovo,Russian Federation,49.65,142.1667,13.01,Overcast clouds,1.73,✅ Safe,2025-08-23 16:54:02
Bukhta Ol'ga,Russian Federation,43.723141,135.2273801,21.39,Scattered clouds,0.82,✅ Safe,2025-08-23 16:54:04
Chamgu,Russian Federation,50.9333,143.6,11.99,Overcast clouds,1.78,✅ Safe,2025-08-23 16:54:06
Chebarkul',Russian Federation,54.9667,60.3667,21.19,Broken clouds,2.78,✅ Safe,2025-08-23 16:54:07
Derbeshkinskiy,Russian Federation,55.8667,53.5,21.65,Overcast clouds,6.77,⚠ Moderate,2025-08-23 16:54:09
Ekonomiya,Russian Federation,64.7,40.6333,17.22,Broken clouds,4.13,✅ Safe,2025-08-23 16:54:11
Engels,Russian Federation,51.5,46.1167,29.64,Broken clouds,8.45,⚠ Moderate,2025-08-23 16:54:12
Gavrilov-Yam,Russian Federation,57.3,39.85,11.58,Overcast clouds,2.78,✅ Safe,2025-08-23 16:54:14
Ikryanoye,Russian Federation,46.0833,47.7333,29.25,Clear sky,9.35,⚠ Moderate,2025-08-23 16:54:15
Ivanovo,Russian Federation,57.0167,41.0,11.96,Overcast clouds,3.96,✅ Safe,2025-08-23 16:54:17
Kashira,Russian Federation,54.8333,38.1667,13.22,Overcast clouds,3.77,✅ Safe,2025-08-23 16:54:18
Kasimov,Russian Federation,54.9333,41.4,14.87,Light rain,3.03,✅ Safe,2025-08-23 16:54:20
Kavkaz,Russian Federation,45.4167,36.7667,25.68,Clear sky,9.6,⚠ Moderate,2025-08-23 16:54:22
Kholmsk,Russian Federation,47.05,142.05,16.75,Overcast clouds,1.04,✅ Safe,2025-08-23 16:54:23
Khvalynsk,Russian Federation,52.4833,48.1,27.64,Overcast clouds,7.72,⚠ Moderate,2025-08-23 16:54:25
Kirovskiy,Russian Federation,45.0833,133.5,21.41,Overcast clouds,1.71,✅ Safe,2025-08-23 16:54:27
Konakovo,Russian Federation,56.7,36.7833,16.42,Broken clouds,1.87,✅ Safe,2025-08-23 16:54:28
Kotel'niki,Russian Federation,55.6333,37.85,14.26,Overcast clouds,2.77,✅ Safe,2025-08-23 16:54:30
Kotel'nyy,Russian Federation,75.632202,138.8649531,6.81,Scattered clouds,4.13,✅ Safe,2025-08-23 16:54:32
Krasnoturansk,Russian Federation,54.3167,91.55,21.55,Overcast clouds,3.22,✅ Safe,2025-08-23 16:54:33
Krasnotur'insk,Russian Federation,59.7667,60.4667,18.4,Few clouds,3.56,✅ Safe,2025-08-23 16:54:35
Krasnoyarsk,Russian Federation,56.0167,93.0667,24.28,Broken clouds,2.74,✅ Safe,2025-08-23 16:54:36
Krasnyye Barrikady,Russian Federation,46.2,47.85,29.52,Clear sky,9.56,⚠ Moderate,2025-08-23 16:54:38
Lavrentiya,Russian Federation,65.5833,-171.0,7.73,Overcast clouds,3.05,✅ Safe,2025-08-23 16:54:39
Lebedyan',Russian Federation,53.0,39.15,18.61,Overcast clouds,4.97,✅ Safe,2025-08-23 16:54:41
Lesogorsk,Russian Federation,49.4333,142.1167,13.92,Overcast clouds,1.27,✅ Safe,2025-08-23 16:54:42
Lyubim,Russian Federation,58.35,40.6833,15.3,Overcast clouds,3.71,✅ Safe,2025-08-23 16:54:43
Makhachkala,Russian Federation,42.9667,47.5,28.18,Clear sky,8.64,⚠ Moderate,2025-08-23 16:54:45
Malino,Russian Federation,55.1,38.1667,13.66,Overcast clouds,3.31,✅ Safe,2025-08-23 16:54:46
Miass,Russian Federation,54.9833,60.1,21.18,Overcast clouds,3.84,✅ Safe,2025-08-23 16:54:48
Moskva,Russian Federation,55.75,37.6,14.3,Overcast clouds,2.24,✅ Safe,2025-08-23 16:54:50
Mys Shmidta,Russian Federation,68.8833,-179.4333,0.21,Scattered clouds,6.72,⚠ Moderate,2025-08-23 16:54:52
Naberezhnyye Chelny,Russian Federation,55.75,52.4167,23.34,Overcast clouds,6.3,⚠ Moderate,2025-08-23 16:54:53
Nizhnevartovsk,Russian Federation,60.9333,76.5667,23.07,Overcast clouds,3.12,✅ Safe,2025-08-23 16:54:55
Nogliki,Russian Federation,51.8167,143.1,12.35,Overcast clouds,2.85,✅ Safe,2025-08-23 16:54:56
Novodvinsk,Russian Federation,64.4167,40.8333,17.47,Broken clouds,4.41,✅ Safe,2025-08-23 16:54:58
Novomoskovsk,Russian Federation,54.0833,38.1833,13.4,Overcast clouds,4.63,✅ Safe,2025-08-23 16:55:00
Novorossiysk,Russian Federation,44.7167,37.7667,28.46,Clear sky,5.86,⚠ Moderate,2025-08-23 16:55:01
"Okha, Sakhalin",Russian Federation,53.5667,143.0,12.55,Overcast clouds,3.1,✅ Safe,2025-08-23 16:55:03
Oleniy Ostrov,Russian Federation,62.0333,35.3333,13.71,Light rain,6.77,⚠ Moderate,2025-08-23 16:55:04
Ol'ga,Russian Federation,43.7333,135.2833,21.13,Scattered clouds,1.01,✅ Safe,2025-08-23 16:55:05
Olya,Russian Federation,45.7833,47.5333,29.32,Clear sky,9.67,⚠ Moderate,2025-08-23 16:55:07
Oranzherei,Russian Federation,45.8333,47.5667,29.37,Clear sky,9.62,⚠ Moderate,2025-08-23 16:55:08
Orekhovo-Zuevo,Russian Federation,55.8167,38.9667,13.73,Overcast clouds,2.6,✅ Safe,2025-08-23 16:55:10
Ozery,Russian Federation,54.85,38.55,13.41,Overcast clouds,3.99,✅ Safe,2025-08-23 16:55:11
Poyarkovo,Russian Federation,49.6,128.6833,17.27,Broken clouds,2.16,✅ Safe,2025-08-23 16:55:13
Preobrazheniye,Russian Federation,42.9,133.9,22.27,Scattered clouds,1.5,✅ Safe,2025-08-23 16:55:14
Prigorodnoye,Russian Federation,46.6167,142.9,14.97,Overcast clouds,5.01,⚠ Moderate,2025-08-23 16:55:16
"Provideniya, Bukhta",Russian Federation,64.3833,-173.3,9.45,Light rain,3.18,✅ Safe,2025-08-23 16:55:17
Rostov-na-Donu,Russian Federation,47.2333,39.7167,33.22,Few clouds,6.03,⚠ Moderate,2025-08-23 16:55:19
Sabetta,Russian Federation,71.25,72.0833,11.77,Broken clouds,4.76,✅ Safe,2025-08-23 16:55:20
Salekhard,Russian Federation,66.5167,66.6,17.86,Overcast clouds,3.17,✅ Safe,2025-08-23 16:55:22
Samara,Russian Federation,53.2167,50.1667,30.1,Broken clouds,6.61,⚠ Moderate,2025-08-23 16:55:23
Shebekino,Russian Federation,50.4,36.9,17.88,Overcast clouds,5.09,⚠ Moderate,2025-08-23 16:55:25
Siziman,Russian Federation,50.7167,140.4167,13.74,Overcast clouds,3.28,✅ Safe,2025-08-23 16:55:26
Sochi,Russian Federation,43.6,39.7167,30.3,Clear sky,1.09,✅ Safe,2025-08-23 16:55:28
Solnechnogorsk,Russian Federation,56.1833,36.9667,14.89,Overcast clouds,2.01,✅ Safe,2025-08-23 16:55:29
Solovki,Russian Federation,65.4167,35.6833,10.78,Light rain,7.07,⚠ Moderate,2025-08-23 16:55:31
Taman',Russian Federation,45.2167,36.7167,26.24,Clear sky,8.13,⚠ Moderate,2025-08-23 16:55:32
Timashevsk,Russian Federation,45.6167,38.9333,35.8,Clear sky,6.53,⚠ Moderate,2025-08-23 16:55:34
Tol'yatti,Russian Federation,53.4667,49.5,27.0,Broken clouds,7.78,⚠ Moderate,2025-08-23 16:55:36
Trudfront,Russian Federation,45.9167,47.6667,29.22,Clear sky,9.2,⚠ Moderate,2025-08-23 16:55:37
Uglich,Russian Federation,57.5167,38.3167,17.45,Overcast clouds,2.14,✅ Safe,2025-08-23 16:55:39
Ust-Kamchatsk,Russian Federation,56.22747,162.469299,11.06,Light rain,3.63,✅ Safe,2025-08-23 16:55:40
Varandey,Russian Federation,68.7833,57.9833,8.85,Light rain,4.6,✅ Safe,2025-08-23 16:55:42
Vityaz,Russian Federation,42.6,131.1667,21.94,Scattered clouds,4.65,✅ Safe,2025-08-23 16:55:43
Vladivostok,Russian Federation,43.1333,131.9,22.05,Few clouds,3.21,✅ Safe,2025-08-23 16:55:45
Volgograd,Russian Federation,48.8,44.5833,30.51,Clear sky,6.2,⚠ Moderate,2025-08-23 16:55:46
Volzhsk,Russian Federation,55.8333,48.25,24.73,Overcast clouds,6.85,⚠ Moderate,2025-08-23 16:55:48
Vostochnyy Port,Russian Federation,42.7667,133.05,22.09,Scattered clouds,2.06,✅ Safe,2025-08-23 16:55:50
Vostokmorservice,Russian Federation,43.0833,131.8667,22.09,Few clouds,3.33,✅ Safe,2025-08-23 16:55:51
Vyksa,Russian Federation,55.3167,42.1667,14.72,Light rain,2.1,✅ Safe,2025-08-23 16:55:53
Yuzhno-Kuril'sk,Russian Federation,44.0333,145.85,15.82,Overcast clouds,0.75,✅ Safe,2025-08-23 16:55:54
Zarubino,Russian Federation,42.6167,131.0833,22.35,Few clouds,3.7,✅ Safe,2025-08-23 16:55:56
Zelenodol'sk,Russian Federation,55.8333,48.5167,23.42,Overcast clouds,6.28,⚠ Moderate,2025-08-23 16:55:57
Ambarchik,Russian Federation,69.617,162.3,0.82,Few clouds,2.11,✅ Safe,2025-08-23 16:55:59
Aksay,Russian Federation,47.25,39.883,33.39,Few clouds,5.8,⚠ Moderate,2025-08-23 16:56:00
Amderma,Russian Federation,69.76667,61.56667,16.54,Moderate rain,4.33,✅ Safe,2025-08-23 16:56:02
Amursk,Russian Federation,50.217,136.9,13.33,Overcast clouds,3.18,✅ Safe,2025-08-23 16:56:03
Arman (Magadan),Russian Federation,59.6733284,150.1414857,12.73,Scattered clouds,5.17,⚠ Moderate,2025-08-23 16:56:05
Azov,Russian Federation,47.096418,39.414202,32.03,Few clouds,5.79,⚠ Moderate,2025-08-23 16:56:06
Bolshoy Kamen,Russian Federation,62.45,66.233,14.63,Overcast clouds,5.72,⚠ Moderate,2025-08-23 16:56:08
Balakhna,Russian Federation,56.483,43.617,14.89,Moderate rain,2.84,✅ Safe,2025-08-23 16:56:09
Balakhnya,Russian Federation,56.8,105.817,21.23,Broken clouds,1.45,✅ Safe,2025-08-23 16:56:11
Borisova,Russian Federation,57.017,106.233,21.47,Broken clouds,1.41,✅ Safe,2025-08-23 16:56:13
Chemashi,Russian Federation,63.033,65.183,13.08,Overcast clouds,5.18,⚠ Moderate,2025-08-23 16:56:14
Chuya,Russian Federation,59.267,112.433,18.8,Scattered clouds,1.24,✅ Safe,2025-08-23 16:56:15
Cpc Terminal,Russian Federation,44.667,37.65,27.22,Clear sky,6.07,⚠ Moderate,2025-08-23 16:56:17
Dubovka,Russian Federation,49.05,44.817,27.89,Clear sky,6.98,⚠ Moderate,2025-08-23 16:56:19
Dubna,Russian Federation,56.75,37.133,16.6,Broken clouds,2.19,✅ Safe,2025-08-23 16:56:20
Fish Port Terminal,Russian Federation,43.133,131.9,22.05,Few clouds,3.21,✅ Safe,2025-08-23 16:56:21
Indiga,Russian Federation,67.65,49.017,14.29,Overcast clouds,3.9,✅ Safe,2025-08-23 16:56:23
Kirensk,Russian Federation,57.76667,108.1,21.94,Few clouds,0.4,✅ Safe,2025-08-23 16:56:24
Kimry,Russian Federation,56.883,37.367,16.83,Broken clouds,2.38,✅ Safe,2025-08-23 16:56:26
Kulakovo,Russian Federation,58.1,93.767,25.92,Broken clouds,1.71,✅ Safe,2025-08-23 16:56:27
Koltogorskiye,Russian Federation,60.667,77.467,24.52,Overcast clouds,1.67,✅ Safe,2025-08-23 16:56:29
Kalyazin,Russian Federation,57.233,37.833,15.75,Overcast clouds,2.59,✅ Safe,2025-08-23 16:56:30
